Graph profile, Command, UriPath
v1.0, Add-MgApplicationKey, /applications/{application-id}/addKey
v1.0, Add-MgApplicationPassword, /applications/{application-id}/addPassword
v1.0, Add-MgServicePrincipalKey, /servicePrincipals/{servicePrincipal-id}/addKey
v1.0, Add-MgServicePrincipalPassword, /servicePrincipals/{servicePrincipal-id}/addPassword
v1.0, Add-MgServicePrincipalTokenSigningCertificate, /servicePrincipals/{servicePrincipal-id}/addTokenSigningCertificate
v1.0, Clear-MgApplicationVerifiedPublisher, /applications/{application-id}/unsetVerifiedPublisher
v1.0, Confirm-MgApplicationMemberGroup, /applications/{application-id}/checkMemberGroups
v1.0, Confirm-MgApplicationMemberObject, /applications/{application-id}/checkMemberObjects
v1.0, Confirm-MgServicePrincipalMemberGroup, /servicePrincipals/{servicePrincipal-id}/checkMemberGroups
v1.0, Confirm-MgServicePrincipalMemberObject, /servicePrincipals/{servicePrincipal-id}/checkMemberObjects
v1.0, Get-MgApplicationAppManagementPolicy, /applications/{application-id}/appManagementPolicies
v1.0, Get-MgApplicationAppManagementPolicyByRef, /applications/{application-id}/appManagementPolicies/$ref
v1.0, Get-MgApplicationById, /applications/getByIds
v1.0, Get-MgApplicationCreatedOnBehalfOf, /applications/{application-id}/createdOnBehalfOf
v1.0, Get-MgApplicationDelta, /applications/delta
v1.0, Get-MgApplicationHomeRealmDiscoveryPolicy, /applications/{application-id}/homeRealmDiscoveryPolicies
v1.0, Get-MgApplicationLogo, /applications/{application-id}/logo
v1.0, Get-MgApplicationMemberGroup, /applications/{application-id}/getMemberGroups
v1.0, Get-MgApplicationMemberObject, /applications/{application-id}/getMemberObjects
v1.0, Get-MgServicePrincipalAppManagementPolicy, /servicePrincipals/{servicePrincipal-id}/appManagementPolicies
v1.0, Get-MgServicePrincipalById, /servicePrincipals/getByIds
v1.0, Get-MgServicePrincipalCreatedObject, /servicePrincipals/{servicePrincipal-id}/createdObjects
v1.0, Get-MgServicePrincipalDelta, /servicePrincipals/delta
v1.0, Get-MgServicePrincipalEndpoint, /servicePrincipals/{servicePrincipal-id}/endpoints
v1.0, Get-MgServicePrincipalMemberGroup, /servicePrincipals/{servicePrincipal-id}/getMemberGroups
v1.0, Get-MgServicePrincipalMemberObject, /servicePrincipals/{servicePrincipal-id}/getMemberObjects
v1.0, Get-MgServicePrincipalOwnedObject, /servicePrincipals/{servicePrincipal-id}/ownedObjects
v1.0, Get-MgServicePrincipalTokenIssuancePolicy, /servicePrincipals/{servicePrincipal-id}/tokenIssuancePolicies
v1.0, Get-MgServicePrincipalTokenLifetimePolicy, /servicePrincipals/{servicePrincipal-id}/tokenLifetimePolicies
v1.0, Invoke-MgInstantiateApplicationTemplate, /applicationTemplates/{applicationTemplate-id}/instantiate
v1.0, New-MgApplicationAppManagementPolicyByRef, /applications/{application-id}/appManagementPolicies/$ref
v1.0, New-MgServicePrincipalEndpoint, /servicePrincipals/{servicePrincipal-id}/endpoints
v1.0, Remove-MgApplicationAppManagementPolicyByRef, /applications/{application-id}/appManagementPolicies/{appManagementPolicy-id}/$ref
v1.0, Remove-MgApplicationExtensionProperty, /applications/{application-id}/extensionProperties/{extensionProperty-id}
v1.0, Remove-MgApplicationFederatedIdentityCredential, /applications/{application-id}/federatedIdentityCredentials/{federatedIdentityCredential-id}
v1.0, Remove-MgApplicationKey, /applications/{application-id}/removeKey
v1.0, Remove-MgApplicationOwnerByRef, /applications/{application-id}/owners/{directoryObject-id}/$ref
v1.0, Remove-MgApplicationPassword, /applications/{application-id}/removePassword
v1.0, Remove-MgApplicationTokenIssuancePolicyByRef, /applications/{application-id}/tokenIssuancePolicies/{tokenIssuancePolicy-id}/$ref
v1.0, Remove-MgApplicationTokenLifetimePolicyByRef, /applications/{application-id}/tokenLifetimePolicies/{tokenLifetimePolicy-id}/$ref
v1.0, Remove-MgGroupAppRoleAssignment, /groups/{group-id}/appRoleAssignments/{appRoleAssignment-id}
v1.0, Remove-MgServicePrincipalAppRoleAssignedTo, /servicePrincipals/{servicePrincipal-id}/appRoleAssignedTo/{appRoleAssignment-id}
v1.0, Remove-MgServicePrincipalAppRoleAssignment, /servicePrincipals/{servicePrincipal-id}/appRoleAssignments/{appRoleAssignment-id}
v1.0, Remove-MgServicePrincipalClaimMappingPolicyByRef, /servicePrincipals/{servicePrincipal-id}/claimsMappingPolicies/{claimsMappingPolicy-id}/$ref
v1.0, Remove-MgServicePrincipalDelegatedPermissionClassification, /servicePrincipals/{servicePrincipal-id}/delegatedPermissionClassifications/{delegatedPermissionClassification-id}
v1.0, Remove-MgServicePrincipalEndpoint, /servicePrincipals/{servicePrincipal-id}/endpoints/{endpoint-id}
v1.0, Remove-MgServicePrincipalHomeRealmDiscoveryPolicyByRef, /servicePrincipals/{servicePrincipal-id}/homeRealmDiscoveryPolicies/{homeRealmDiscoveryPolicy-id}/$ref
v1.0, Remove-MgServicePrincipalKey, /servicePrincipals/{servicePrincipal-id}/removeKey
v1.0, Remove-MgServicePrincipalOwnerByRef, /servicePrincipals/{servicePrincipal-id}/owners/{directoryObject-id}/$ref
v1.0, Remove-MgServicePrincipalPassword, /servicePrincipals/{servicePrincipal-id}/removePassword
v1.0, Remove-MgUserAppRoleAssignment, /users/{user-id}/appRoleAssignments/{appRoleAssignment-id}
v1.0, Set-MgApplicationLogo, /applications/{application-id}/logo
v1.0, Set-MgApplicationVerifiedPublisher, /applications/{application-id}/setVerifiedPublisher
v1.0, Test-MgApplicationProperty, /applications/validateProperties
v1.0, Test-MgServicePrincipalProperty, /servicePrincipals/validateProperties
v1.0, Update-MgApplicationExtensionProperty, /applications/{application-id}/extensionProperties/{extensionProperty-id}
v1.0, Update-MgApplicationFederatedIdentityCredential, /applications/{application-id}/federatedIdentityCredentials/{federatedIdentityCredential-id}
v1.0, Update-MgGroupAppRoleAssignment, /groups/{group-id}/appRoleAssignments/{appRoleAssignment-id}
v1.0, Update-MgServicePrincipalAppRoleAssignedTo, /servicePrincipals/{servicePrincipal-id}/appRoleAssignedTo/{appRoleAssignment-id}
v1.0, Update-MgServicePrincipalAppRoleAssignment, /servicePrincipals/{servicePrincipal-id}/appRoleAssignments/{appRoleAssignment-id}
v1.0, Update-MgServicePrincipalDelegatedPermissionClassification, /servicePrincipals/{servicePrincipal-id}/delegatedPermissionClassifications/{delegatedPermissionClassification-id}
v1.0, Update-MgServicePrincipalEndpoint, /servicePrincipals/{servicePrincipal-id}/endpoints/{endpoint-id}
v1.0, Update-MgUserAppRoleAssignment, /users/{user-id}/appRoleAssignments/{appRoleAssignment-id}
v1.0-beta, Add-MgApplicationKey, /applications/{application-id}/addKey
v1.0-beta, Add-MgApplicationPassword, /applications/{application-id}/addPassword
v1.0-beta, Add-MgServicePrincipalTokenSigningCertificate, /servicePrincipals/{servicePrincipal-id}/addTokenSigningCertificate
v1.0-beta, Clear-MgApplicationVerifiedPublisher, /applications/{application-id}/unsetVerifiedPublisher
v1.0-beta, Confirm-MgApplicationMemberGroup, /applications/{application-id}/checkMemberGroups
v1.0-beta, Confirm-MgApplicationMemberObject, /applications/{application-id}/checkMemberObjects
v1.0-beta, Confirm-MgServicePrincipalMemberGroup, /servicePrincipals/{servicePrincipal-id}/checkMemberGroups
v1.0-beta, Confirm-MgServicePrincipalMemberObject, /servicePrincipals/{servicePrincipal-id}/checkMemberObjects
v1.0-beta, Find-MgApplicationSynchronizationJobSchemaDirectory, /applications/{application-id}/synchronization/jobs/{synchronizationJob-id}/schema/directories/{directoryDefinition-id}/discover
v1.0-beta, Find-MgApplicationSynchronizationTemplateSchemaDirectory, /applications/{application-id}/synchronization/templates/{synchronizationTemplate-id}/schema/directories/{directoryDefinition-id}/discover
