Graph profile, Command, UriPath
v1.0, Publish-MgBookingBusiness, /solutions/bookingBusinesses/{bookingBusiness-id}/publish
v1.0, Remove-MgBookingBusiness, /solutions/bookingBusinesses/{bookingBusiness-id}
v1.0, Remove-MgBookingBusinessAppointment, /solutions/bookingBusinesses/{bookingBusiness-id}/appointments/{bookingAppointment-id}
v1.0, Remove-MgBookingBusinessCalendarView, /solutions/bookingBusinesses/{bookingBusiness-id}/calendarView/{bookingAppointment-id}
v1.0, Remove-MgBookingBusinessCustomer, /solutions/bookingBusinesses/{bookingBusiness-id}/customers/{bookingCustomerBase-id}
v1.0, Remove-MgBookingBusinessCustomQuestion, /solutions/bookingBusinesses/{bookingBusiness-id}/customQuestions/{bookingCustomQuestion-id}
v1.0, Remove-MgBookingBusinessService, /solutions/bookingBusinesses/{bookingBusiness-id}/services/{bookingService-id}
v1.0, Remove-MgBookingBusinessStaffMember, /solutions/bookingBusinesses/{bookingBusiness-id}/staffMembers/{bookingStaffMemberBase-id}
v1.0, Remove-MgBookingCurrency, /solutions/bookingCurrencies/{bookingCurrency-id}
v1.0, Stop-MgBookingBusinessAppointment, /solutions/bookingBusinesses/{bookingBusiness-id}/appointments/{bookingAppointment-id}/cancel
v1.0, Stop-MgBookingBusinessCalendarView, /solutions/bookingBusinesses/{bookingBusiness-id}/calendarView/{bookingAppointment-id}/cancel
v1.0, Unpublish-MgBookingBusiness, /solutions/bookingBusinesses/{bookingBusiness-id}/unpublish
v1.0, Update-MgBookingBusiness, /solutions/bookingBusinesses/{bookingBusiness-id}
v1.0, Update-MgBookingBusinessAppointment, /solutions/bookingBusinesses/{bookingBusiness-id}/appointments/{bookingAppointment-id}
v1.0, Update-MgBookingBusinessCalendarView, /solutions/bookingBusinesses/{bookingBusiness-id}/calendarView/{bookingAppointment-id}
v1.0, Update-MgBookingBusinessCustomer, /solutions/bookingBusinesses/{bookingBusiness-id}/customers/{bookingCustomerBase-id}
v1.0, Update-MgBookingBusinessCustomQuestion, /solutions/bookingBusinesses/{bookingBusiness-id}/customQuestions/{bookingCustomQuestion-id}
v1.0, Update-MgBookingBusinessService, /solutions/bookingBusinesses/{bookingBusiness-id}/services/{bookingService-id}
v1.0, Update-MgBookingBusinessStaffMember, /solutions/bookingBusinesses/{bookingBusiness-id}/staffMembers/{bookingStaffMemberBase-id}
v1.0, Update-MgBookingCurrency, /solutions/bookingCurrencies/{bookingCurrency-id}
v1.0-beta, Publish-MgBookingBusiness, /solutions/bookingBusinesses/{bookingBusiness-id}/publish
v1.0-beta, Remove-MgBookingBusiness, /solutions/bookingBusinesses/{bookingBusiness-id}
v1.0-beta, Remove-MgBookingBusinessAppointment, /solutions/bookingBusinesses/{bookingBusiness-id}/appointments/{bookingAppointment-id}
v1.0-beta, Remove-MgBookingBusinessCalendarView, /solutions/bookingBusinesses/{bookingBusiness-id}/calendarView/{bookingAppointment-id}
v1.0-beta, Remove-MgBookingBusinessCustomer, /solutions/bookingBusinesses/{bookingBusiness-id}/customers/{bookingCustomerBase-id}
v1.0-beta, Remove-MgBookingBusinessCustomQuestion, /solutions/bookingBusinesses/{bookingBusiness-id}/customQuestions/{bookingCustomQuestion-id}
v1.0-beta, Remove-MgBookingBusinessService, /solutions/bookingBusinesses/{bookingBusiness-id}/services/{bookingService-id}
v1.0-beta, Remove-MgBookingBusinessStaffMember, /solutions/bookingBusinesses/{bookingBusiness-id}/staffMembers/{bookingStaffMemberBase-id}
v1.0-beta, Remove-MgBookingCurrency, /solutions/bookingCurrencies/{bookingCurrency-id}
v1.0-beta, Stop-MgBookingBusinessAppointment, /solutions/bookingBusinesses/{bookingBusiness-id}/appointments/{bookingAppointment-id}/cancel
v1.0-beta, Stop-MgBookingBusinessCalendarView, /solutions/bookingBusinesses/{bookingBusiness-id}/calendarView/{bookingAppointment-id}/cancel
v1.0-beta, Unpublish-MgBookingBusiness, /solutions/bookingBusinesses/{bookingBusiness-id}/unpublish
v1.0-beta, Update-MgBookingBusiness, /solutions/bookingBusinesses/{bookingBusiness-id}
v1.0-beta, Update-MgBookingBusinessAppointment, /solutions/bookingBusinesses/{bookingBusiness-id}/appointments/{bookingAppointment-id}
v1.0-beta, Update-MgBookingBusinessCalendarView, /solutions/bookingBusinesses/{bookingBusiness-id}/calendarView/{bookingAppointment-id}
v1.0-beta, Update-MgBookingBusinessCustomer, /solutions/bookingBusinesses/{bookingBusiness-id}/customers/{bookingCustomerBase-id}
v1.0-beta, Update-MgBookingBusinessCustomQuestion, /solutions/bookingBusinesses/{bookingBusiness-id}/customQuestions/{bookingCustomQuestion-id}
v1.0-beta, Update-MgBookingBusinessService, /solutions/bookingBusinesses/{bookingBusiness-id}/services/{bookingService-id}
v1.0-beta, Update-MgBookingBusinessStaffMember, /solutions/bookingBusinesses/{bookingBusiness-id}/staffMembers/{bookingStaffMemberBase-id}
v1.0-beta, Update-MgBookingCurrency, /solutions/bookingCurrencies/{bookingCurrency-id}
v1.0, Get-MgBookingBusinessAppointmentCount, /solutions/bookingBusinesses/{bookingBusiness-id}/appointments/$count
v1.0, Get-MgBookingBusinessCalendarView, /solutions/bookingBusinesses/{bookingBusiness-id}/calendarView/{bookingAppointment-id}
v1.0, Get-MgBookingBusinessCalendarViewCount, /solutions/bookingBusinesses/{bookingBusiness-id}/calendarView/$count
v1.0, Get-MgBookingBusinessCount, /solutions/bookingBusinesses/$count
v1.0, Get-MgBookingBusinessCustomerCount, /solutions/bookingBusinesses/{bookingBusiness-id}/customers/$count
