Graph profile, Command, UriPath
v1.0, Get-MgDeviceManagementConditionalAccessSetting, /deviceManagement/conditionalAccessSettings
v1.0, Get-MgDeviceManagementDeviceEnrollmentConfiguration, /deviceManagement/deviceEnrollmentConfigurations/{deviceEnrollmentConfiguration-id}
v1.0, Get-MgDeviceManagementDeviceEnrollmentConfigurationAssignment, /deviceManagement/deviceEnrollmentConfigurations/{deviceEnrollmentConfiguration-id}/assignments/{enrollmentConfigurationAssignment-id}
v1.0, Get-MgDeviceManagementDeviceEnrollmentConfigurationAssignmentCount, /deviceManagement/deviceEnrollmentConfigurations/{deviceEnrollmentConfiguration-id}/assignments/$count
v1.0, Get-MgDeviceManagementDeviceEnrollmentConfigurationCount, /deviceManagement/deviceEnrollmentConfigurations/$count
v1.0, Get-MgDeviceManagementImportedWindowsAutopilotDeviceIdentity, /deviceManagement/importedWindowsAutopilotDeviceIdentities/{importedWindowsAutopilotDeviceIdentity-id}
v1.0, Get-MgDeviceManagementImportedWindowsAutopilotDeviceIdentityCount, /deviceManagement/importedWindowsAutopilotDeviceIdentities/$count
v1.0, Get-MgDeviceManagementWindowsAutopilotDeviceIdentity, /deviceManagement/windowsAutopilotDeviceIdentities/{windowsAutopilotDeviceIdentity-id}
v1.0, Get-MgDeviceManagementWindowsAutopilotDeviceIdentityCount, /deviceManagement/windowsAutopilotDeviceIdentities/$count
v1.0, Get-MgRoleManagement, /roleManagement
v1.0, New-MgDeviceManagementDeviceEnrollmentConfiguration, /deviceManagement/deviceEnrollmentConfigurations
v1.0, New-MgDeviceManagementDeviceEnrollmentConfigurationAssignment, /deviceManagement/deviceEnrollmentConfigurations/{deviceEnrollmentConfiguration-id}/assignments
v1.0, New-MgDeviceManagementImportedWindowsAutopilotDeviceIdentity, /deviceManagement/importedWindowsAutopilotDeviceIdentities
v1.0, New-MgDeviceManagementWindowsAutopilotDeviceIdentity, /deviceManagement/windowsAutopilotDeviceIdentities
v1.0, Remove-MgDeviceManagementConditionalAccessSetting, /deviceManagement/conditionalAccessSettings
v1.0, Remove-MgDeviceManagementDeviceEnrollmentConfiguration, /deviceManagement/deviceEnrollmentConfigurations/{deviceEnrollmentConfiguration-id}
v1.0, Remove-MgDeviceManagementDeviceEnrollmentConfigurationAssignment, /deviceManagement/deviceEnrollmentConfigurations/{deviceEnrollmentConfiguration-id}/assignments/{enrollmentConfigurationAssignment-id}
v1.0, Remove-MgDeviceManagementImportedWindowsAutopilotDeviceIdentity, /deviceManagement/importedWindowsAutopilotDeviceIdentities/{importedWindowsAutopilotDeviceIdentity-id}
