Graph profile, Command, UriPath
v1.0, Get-MgDeviceManagementConditionalAccessSetting, /deviceManagement/conditionalAccessSettings
v1.0, Get-MgDeviceManagementDeviceEnrollmentConfiguration, /deviceManagement/deviceEnrollmentConfigurations
v1.0, Get-MgDeviceManagementDeviceEnrollmentConfigurationAssignment, /deviceManagement/deviceEnrollmentConfigurations/{deviceEnrollmentConfiguration-id}/assignments
v1.0, Get-MgDeviceManagementImportedWindowAutopilotDeviceIdentity, /deviceManagement/importedWindowsAutopilotDeviceIdentities
v1.0, Get-MgDeviceManagementWindowAutopilotDeviceIdentity, /deviceManagement/windowsAutopilotDeviceIdentities
v1.0, Get-MgRoleManagement, /roleManagement
v1.0, Get-MgRoleManagementDirectory, /roleManagement/directory
v1.0, Get-MgRoleManagementDirectoryRoleAssignmentAppScope, /roleManagement/directory/roleAssignments/{unifiedRoleAssignment-id}/appScope
v1.0, Get-MgRoleManagementDirectoryRoleAssignmentDirectoryScope, /roleManagement/directory/roleAssignments/{unifiedRoleAssignment-id}/directoryScope
v1.0, Get-MgRoleManagementDirectoryRoleAssignmentPrincipal, /roleManagement/directory/roleAssignments/{unifiedRoleAssignment-id}/principal
v1.0, Get-MgRoleManagementDirectoryRoleAssignmentRoleDefinition, /roleManagement/directory/roleAssignments/{unifiedRoleAssignment-id}/roleDefinition
v1.0, Get-MgRoleManagementDirectoryRoleAssignmentScheduleActivatedUsing, /roleManagement/directory/roleAssignmentSchedules/{unifiedRoleAssignmentSchedule-id}/activatedUsing
v1.0, Get-MgRoleManagementDirectoryRoleAssignmentScheduleInstanceActivatedUsing, /roleManagement/directory/roleAssignmentScheduleInstances/{unifiedRoleAssignmentScheduleInstance-id}/activatedUsing
v1.0, Get-MgRoleManagementDirectoryRoleAssignmentScheduleRequestActivatedUsing, /roleManagement/directory/roleAssignmentScheduleRequests/{unifiedRoleAssignmentScheduleRequest-id}/activatedUsing
v1.0, Get-MgRoleManagementDirectoryRoleAssignmentScheduleRequestAppScope, /roleManagement/directory/roleAssignmentScheduleRequests/{unifiedRoleAssignmentScheduleRequest-id}/appScope
v1.0, Get-MgRoleManagementDirectoryRoleAssignmentScheduleRequestDirectoryScope, /roleManagement/directory/roleAssignmentScheduleRequests/{unifiedRoleAssignmentScheduleRequest-id}/directoryScope
v1.0, Get-MgRoleManagementDirectoryRoleAssignmentScheduleRequestPrincipal, /roleManagement/directory/roleAssignmentScheduleRequests/{unifiedRoleAssignmentScheduleRequest-id}/principal
v1.0, Get-MgRoleManagementDirectoryRoleAssignmentScheduleRequestRoleDefinition, /roleManagement/directory/roleAssignmentScheduleRequests/{unifiedRoleAssignmentScheduleRequest-id}/roleDefinition
v1.0, Get-MgRoleManagementDirectoryRoleAssignmentScheduleRequestTargetSchedule, /roleManagement/directory/roleAssignmentScheduleRequests/{unifiedRoleAssignmentScheduleRequest-id}/targetSchedule
v1.0, Get-MgRoleManagementDirectoryRoleDefinitionInheritPermissionFrom, /roleManagement/directory/roleDefinitions/{unifiedRoleDefinition-id}/inheritsPermissionsFrom
v1.0, Get-MgRoleManagementDirectoryRoleEligibilityScheduleRequestAppScope, /roleManagement/directory/roleEligibilityScheduleRequests/{unifiedRoleEligibilityScheduleRequest-id}/appScope
v1.0, Get-MgRoleManagementDirectoryRoleEligibilityScheduleRequestDirectoryScope, /roleManagement/directory/roleEligibilityScheduleRequests/{unifiedRoleEligibilityScheduleRequest-id}/directoryScope
v1.0, Get-MgRoleManagementDirectoryRoleEligibilityScheduleRequestPrincipal, /roleManagement/directory/roleEligibilityScheduleRequests/{unifiedRoleEligibilityScheduleRequest-id}/principal
v1.0, Get-MgRoleManagementDirectoryRoleEligibilityScheduleRequestRoleDefinition, /roleManagement/directory/roleEligibilityScheduleRequests/{unifiedRoleEligibilityScheduleRequest-id}/roleDefinition
v1.0, Get-MgRoleManagementDirectoryRoleEligibilityScheduleRequestTargetSchedule, /roleManagement/directory/roleEligibilityScheduleRequests/{unifiedRoleEligibilityScheduleRequest-id}/targetSchedule
v1.0, Get-MgRoleManagementEntitlementManagement, /roleManagement/entitlementManagement
v1.0, Get-MgRoleManagementEntitlementManagementRoleAssignmentAppScope, /roleManagement/entitlementManagement/roleAssignments/{unifiedRoleAssignment-id}/appScope
v1.0, Get-MgRoleManagementEntitlementManagementRoleAssignmentDirectoryScope, /roleManagement/entitlementManagement/roleAssignments/{unifiedRoleAssignment-id}/directoryScope
v1.0, Get-MgRoleManagementEntitlementManagementRoleAssignmentPrincipal, /roleManagement/entitlementManagement/roleAssignments/{unifiedRoleAssignment-id}/principal
v1.0, Get-MgRoleManagementEntitlementManagementRoleAssignmentRoleDefinition, /roleManagement/entitlementManagement/roleAssignments/{unifiedRoleAssignment-id}/roleDefinition
v1.0, Get-MgRoleManagementEntitlementManagementRoleAssignmentScheduleActivatedUsing, /roleManagement/entitlementManagement/roleAssignmentSchedules/{unifiedRoleAssignmentSchedule-id}/activatedUsing
v1.0, Get-MgRoleManagementEntitlementManagementRoleAssignmentScheduleInstanceActivatedUsing, /roleManagement/entitlementManagement/roleAssignmentScheduleInstances/{unifiedRoleAssignmentScheduleInstance-id}/activatedUsing
v1.0, Get-MgRoleManagementEntitlementManagementRoleAssignmentScheduleRequestActivatedUsing, /roleManagement/entitlementManagement/roleAssignmentScheduleRequests/{unifiedRoleAssignmentScheduleRequest-id}/activatedUsing
v1.0, Get-MgRoleManagementEntitlementManagementRoleAssignmentScheduleRequestAppScope, /roleManagement/entitlementManagement/roleAssignmentScheduleRequests/{unifiedRoleAssignmentScheduleRequest-id}/appScope
v1.0, Get-MgRoleManagementEntitlementManagementRoleAssignmentScheduleRequestDirectoryScope, /roleManagement/entitlementManagement/roleAssignmentScheduleRequests/{unifiedRoleAssignmentScheduleRequest-id}/directoryScope
v1.0, Get-MgRoleManagementEntitlementManagementRoleAssignmentScheduleRequestPrincipal, /roleManagement/entitlementManagement/roleAssignmentScheduleRequests/{unifiedRoleAssignmentScheduleRequest-id}/principal
v1.0, Get-MgRoleManagementEntitlementManagementRoleAssignmentScheduleRequestRoleDefinition, /roleManagement/entitlementManagement/roleAssignmentScheduleRequests/{unifiedRoleAssignmentScheduleRequest-id}/roleDefinition
v1.0, Get-MgRoleManagementEntitlementManagementRoleAssignmentScheduleRequestTargetSchedule, /roleManagement/entitlementManagement/roleAssignmentScheduleRequests/{unifiedRoleAssignmentScheduleRequest-id}/targetSchedule
v1.0, Get-MgRoleManagementEntitlementManagementRoleDefinitionInheritPermissionFrom, /roleManagement/entitlementManagement/roleDefinitions/{unifiedRoleDefinition-id}/inheritsPermissionsFrom
v1.0, Get-MgRoleManagementEntitlementManagementRoleEligibilityScheduleRequestAppScope, /roleManagement/entitlementManagement/roleEligibilityScheduleRequests/{unifiedRoleEligibilityScheduleRequest-id}/appScope
v1.0, Get-MgRoleManagementEntitlementManagementRoleEligibilityScheduleRequestDirectoryScope, /roleManagement/entitlementManagement/roleEligibilityScheduleRequests/{unifiedRoleEligibilityScheduleRequest-id}/directoryScope
v1.0, Get-MgRoleManagementEntitlementManagementRoleEligibilityScheduleRequestPrincipal, /roleManagement/entitlementManagement/roleEligibilityScheduleRequests/{unifiedRoleEligibilityScheduleRequest-id}/principal
v1.0, Get-MgRoleManagementEntitlementManagementRoleEligibilityScheduleRequestRoleDefinition, /roleManagement/entitlementManagement/roleEligibilityScheduleRequests/{unifiedRoleEligibilityScheduleRequest-id}/roleDefinition
v1.0, Get-MgRoleManagementEntitlementManagementRoleEligibilityScheduleRequestTargetSchedule, /roleManagement/entitlementManagement/roleEligibilityScheduleRequests/{unifiedRoleEligibilityScheduleRequest-id}/targetSchedule
v1.0, New-MgDeviceManagementDeviceEnrollmentConfiguration, /deviceManagement/deviceEnrollmentConfigurations
v1.0, New-MgDeviceManagementDeviceEnrollmentConfigurationAssignment, /deviceManagement/deviceEnrollmentConfigurations/{deviceEnrollmentConfiguration-id}/assignments
v1.0, New-MgDeviceManagementImportedWindowAutopilotDeviceIdentity, /deviceManagement/importedWindowsAutopilotDeviceIdentities
v1.0, New-MgDeviceManagementWindowAutopilotDeviceIdentity, /deviceManagement/windowsAutopilotDeviceIdentities
v1.0, New-MgRoleManagementDirectoryRoleDefinitionInheritPermissionFrom, /roleManagement/directory/roleDefinitions/{unifiedRoleDefinition-id}/inheritsPermissionsFrom
v1.0, New-MgRoleManagementEntitlementManagementRoleDefinitionInheritPermissionFrom, /roleManagement/entitlementManagement/roleDefinitions/{unifiedRoleDefinition-id}/inheritsPermissionsFrom
v1.0, Remove-MgDeviceManagementConditionalAccessSetting, /deviceManagement/conditionalAccessSettings
v1.0, Remove-MgDeviceManagementDeviceEnrollmentConfiguration, /deviceManagement/deviceEnrollmentConfigurations/{deviceEnrollmentConfiguration-id}
v1.0, Remove-MgDeviceManagementDeviceEnrollmentConfigurationAssignment, /deviceManagement/deviceEnrollmentConfigurations/{deviceEnrollmentConfiguration-id}/assignments/{enrollmentConfigurationAssignment-id}
v1.0, Remove-MgDeviceManagementImportedWindowAutopilotDeviceIdentity, /deviceManagement/importedWindowsAutopilotDeviceIdentities/{importedWindowsAutopilotDeviceIdentity-id}
v1.0, Remove-MgDeviceManagementWindowAutopilotDeviceIdentity, /deviceManagement/windowsAutopilotDeviceIdentities/{windowsAutopilotDeviceIdentity-id}
v1.0, Remove-MgRoleManagementDirectory, /roleManagement/directory
v1.0, Remove-MgRoleManagementDirectoryRoleAssignment, /roleManagement/directory/roleAssignments/{unifiedRoleAssignment-id}
v1.0, Remove-MgRoleManagementDirectoryRoleAssignmentAppScope, /roleManagement/directory/roleAssignments/{unifiedRoleAssignment-id}/appScope
v1.0, Remove-MgRoleManagementDirectoryRoleAssignmentSchedule, /roleManagement/directory/roleAssignmentSchedules/{unifiedRoleAssignmentSchedule-id}
v1.0, Remove-MgRoleManagementDirectoryRoleAssignmentScheduleInstance, /roleManagement/directory/roleAssignmentScheduleInstances/{unifiedRoleAssignmentScheduleInstance-id}
v1.0, Remove-MgRoleManagementDirectoryRoleAssignmentScheduleRequest, /roleManagement/directory/roleAssignmentScheduleRequests/{unifiedRoleAssignmentScheduleRequest-id}
v1.0, Remove-MgRoleManagementDirectoryRoleDefinition, /roleManagement/directory/roleDefinitions/{unifiedRoleDefinition-id}
v1.0, Remove-MgRoleManagementDirectoryRoleDefinitionInheritPermissionFrom, /roleManagement/directory/roleDefinitions/{unifiedRoleDefinition-id}/inheritsPermissionsFrom/{unifiedRoleDefinition-id1}
v1.0, Remove-MgRoleManagementDirectoryRoleEligibilitySchedule, /roleManagement/directory/roleEligibilitySchedules/{unifiedRoleEligibilitySchedule-id}
v1.0, Remove-MgRoleManagementDirectoryRoleEligibilityScheduleInstance, /roleManagement/directory/roleEligibilityScheduleInstances/{unifiedRoleEligibilityScheduleInstance-id}
v1.0, Remove-MgRoleManagementDirectoryRoleEligibilityScheduleRequest, /roleManagement/directory/roleEligibilityScheduleRequests/{unifiedRoleEligibilityScheduleRequest-id}
v1.0, Remove-MgRoleManagementEntitlementManagement, /roleManagement/entitlementManagement
v1.0, Remove-MgRoleManagementEntitlementManagementRoleAssignment, /roleManagement/entitlementManagement/roleAssignments/{unifiedRoleAssignment-id}
v1.0, Remove-MgRoleManagementEntitlementManagementRoleAssignmentAppScope, /roleManagement/entitlementManagement/roleAssignments/{unifiedRoleAssignment-id}/appScope
v1.0, Remove-MgRoleManagementEntitlementManagementRoleAssignmentSchedule, /roleManagement/entitlementManagement/roleAssignmentSchedules/{unifiedRoleAssignmentSchedule-id}
v1.0, Remove-MgRoleManagementEntitlementManagementRoleAssignmentScheduleInstance, /roleManagement/entitlementManagement/roleAssignmentScheduleInstances/{unifiedRoleAssignmentScheduleInstance-id}
v1.0, Remove-MgRoleManagementEntitlementManagementRoleAssignmentScheduleRequest, /roleManagement/entitlementManagement/roleAssignmentScheduleRequests/{unifiedRoleAssignmentScheduleRequest-id}
v1.0, Remove-MgRoleManagementEntitlementManagementRoleDefinition, /roleManagement/entitlementManagement/roleDefinitions/{unifiedRoleDefinition-id}
v1.0, Remove-MgRoleManagementEntitlementManagementRoleDefinitionInheritPermissionFrom, /roleManagement/entitlementManagement/roleDefinitions/{unifiedRoleDefinition-id}/inheritsPermissionsFrom/{unifiedRoleDefinition-id1}
v1.0, Remove-MgRoleManagementEntitlementManagementRoleEligibilitySchedule, /roleManagement/entitlementManagement/roleEligibilitySchedules/{unifiedRoleEligibilitySchedule-id}
v1.0, Remove-MgRoleManagementEntitlementManagementRoleEligibilityScheduleInstance, /roleManagement/entitlementManagement/roleEligibilityScheduleInstances/{unifiedRoleEligibilityScheduleInstance-id}
v1.0, Remove-MgRoleManagementEntitlementManagementRoleEligibilityScheduleRequest, /roleManagement/entitlementManagement/roleEligibilityScheduleRequests/{unifiedRoleEligibilityScheduleRequest-id}
v1.0, Stop-MgRoleManagementDirectoryRoleAssignmentScheduleRequest, /roleManagement/directory/roleAssignmentScheduleRequests/{unifiedRoleAssignmentScheduleRequest-id}/cancel
v1.0, Stop-MgRoleManagementDirectoryRoleEligibilityScheduleRequest, /roleManagement/directory/roleEligibilityScheduleRequests/{unifiedRoleEligibilityScheduleRequest-id}/cancel
v1.0, Stop-MgRoleManagementEntitlementManagementRoleAssignmentScheduleRequest, /roleManagement/entitlementManagement/roleAssignmentScheduleRequests/{unifiedRoleAssignmentScheduleRequest-id}/cancel
v1.0, Stop-MgRoleManagementEntitlementManagementRoleEligibilityScheduleRequest, /roleManagement/entitlementManagement/roleEligibilityScheduleRequests/{unifiedRoleEligibilityScheduleRequest-id}/cancel
v1.0, Update-MgDeviceManagementConditionalAccessSetting, /deviceManagement/conditionalAccessSettings
v1.0, Update-MgDeviceManagementDeviceEnrollmentConfiguration, /deviceManagement/deviceEnrollmentConfigurations/{deviceEnrollmentConfiguration-id}
v1.0, Update-MgDeviceManagementDeviceEnrollmentConfigurationAssignment, /deviceManagement/deviceEnrollmentConfigurations/{deviceEnrollmentConfiguration-id}/assignments/{enrollmentConfigurationAssignment-id}
v1.0, Update-MgDeviceManagementImportedWindowAutopilotDeviceIdentity, /deviceManagement/importedWindowsAutopilotDeviceIdentities/{importedWindowsAutopilotDeviceIdentity-id}
v1.0, Update-MgRoleManagement, /roleManagement
v1.0, Update-MgRoleManagementDirectory, /roleManagement/directory
v1.0, Update-MgRoleManagementDirectoryRoleAssignment, /roleManagement/directory/roleAssignments/{unifiedRoleAssignment-id}
v1.0, Update-MgRoleManagementDirectoryRoleAssignmentAppScope, /roleManagement/directory/roleAssignments/{unifiedRoleAssignment-id}/appScope
v1.0, Update-MgRoleManagementDirectoryRoleAssignmentSchedule, /roleManagement/directory/roleAssignmentSchedules/{unifiedRoleAssignmentSchedule-id}
v1.0, Update-MgRoleManagementDirectoryRoleAssignmentScheduleInstance, /roleManagement/directory/roleAssignmentScheduleInstances/{unifiedRoleAssignmentScheduleInstance-id}
v1.0, Update-MgRoleManagementDirectoryRoleAssignmentScheduleRequest, /roleManagement/directory/roleAssignmentScheduleRequests/{unifiedRoleAssignmentScheduleRequest-id}
v1.0, Update-MgRoleManagementDirectoryRoleDefinition, /roleManagement/directory/roleDefinitions/{unifiedRoleDefinition-id}
v1.0, Update-MgRoleManagementDirectoryRoleDefinitionInheritPermissionFrom, /roleManagement/directory/roleDefinitions/{unifiedRoleDefinition-id}/inheritsPermissionsFrom/{unifiedRoleDefinition-id1}
v1.0, Update-MgRoleManagementDirectoryRoleEligibilitySchedule, /roleManagement/directory/roleEligibilitySchedules/{unifiedRoleEligibilitySchedule-id}
v1.0, Update-MgRoleManagementDirectoryRoleEligibilityScheduleInstance, /roleManagement/directory/roleEligibilityScheduleInstances/{unifiedRoleEligibilityScheduleInstance-id}
v1.0, Update-MgRoleManagementDirectoryRoleEligibilityScheduleRequest, /roleManagement/directory/roleEligibilityScheduleRequests/{unifiedRoleEligibilityScheduleRequest-id}
v1.0, Update-MgRoleManagementEntitlementManagement, /roleManagement/entitlementManagement
v1.0, Update-MgRoleManagementEntitlementManagementRoleAssignment, /roleManagement/entitlementManagement/roleAssignments/{unifiedRoleAssignment-id}
v1.0, Update-MgRoleManagementEntitlementManagementRoleAssignmentAppScope, /roleManagement/entitlementManagement/roleAssignments/{unifiedRoleAssignment-id}/appScope
v1.0, Update-MgRoleManagementEntitlementManagementRoleAssignmentSchedule, /roleManagement/entitlementManagement/roleAssignmentSchedules/{unifiedRoleAssignmentSchedule-id}
v1.0, Update-MgRoleManagementEntitlementManagementRoleAssignmentScheduleInstance, /roleManagement/entitlementManagement/roleAssignmentScheduleInstances/{unifiedRoleAssignmentScheduleInstance-id}
v1.0, Update-MgRoleManagementEntitlementManagementRoleAssignmentScheduleRequest, /roleManagement/entitlementManagement/roleAssignmentScheduleRequests/{unifiedRoleAssignmentScheduleRequest-id}
v1.0, Update-MgRoleManagementEntitlementManagementRoleDefinition, /roleManagement/entitlementManagement/roleDefinitions/{unifiedRoleDefinition-id}
v1.0, Update-MgRoleManagementEntitlementManagementRoleDefinitionInheritPermissionFrom, /roleManagement/entitlementManagement/roleDefinitions/{unifiedRoleDefinition-id}/inheritsPermissionsFrom/{unifiedRoleDefinition-id1}
v1.0, Update-MgRoleManagementEntitlementManagementRoleEligibilitySchedule, /roleManagement/entitlementManagement/roleEligibilitySchedules/{unifiedRoleEligibilitySchedule-id}
v1.0, Update-MgRoleManagementEntitlementManagementRoleEligibilityScheduleInstance, /roleManagement/entitlementManagement/roleEligibilityScheduleInstances/{unifiedRoleEligibilityScheduleInstance-id}
v1.0, Update-MgRoleManagementEntitlementManagementRoleEligibilityScheduleRequest, /roleManagement/entitlementManagement/roleEligibilityScheduleRequests/{unifiedRoleEligibilityScheduleRequest-id}
v1.0-beta, Get-MgDeviceManagementAndroidDeviceOwnerEnrollmentProfile, /deviceManagement/androidDeviceOwnerEnrollmentProfiles/{androidDeviceOwnerEnrollmentProfile-id}
v1.0-beta, Get-MgDeviceManagementAppleUserInitiatedEnrollmentProfile, /deviceManagement/appleUserInitiatedEnrollmentProfiles/{appleUserInitiatedEnrollmentProfile-id}
v1.0-beta, Get-MgDeviceManagementAppleUserInitiatedEnrollmentProfileAssignment, /deviceManagement/appleUserInitiatedEnrollmentProfiles/{appleUserInitiatedEnrollmentProfile-id}/assignments/{appleEnrollmentProfileAssignment-id}
v1.0-beta, Get-MgDeviceManagementAutopilotEvent, /deviceManagement/autopilotEvents/{deviceManagementAutopilotEvent-id}
v1.0-beta, Get-MgDeviceManagementAutopilotEventPolicyStatusDetail, /deviceManagement/autopilotEvents/{deviceManagementAutopilotEvent-id}/policyStatusDetails/{deviceManagementAutopilotPolicyStatusDetail-id}
v1.0-beta, Get-MgDeviceManagementConditionalAccessSetting, /deviceManagement/conditionalAccessSettings
v1.0-beta, Get-MgDeviceManagementDepOnboardingSetting, /deviceManagement/depOnboardingSettings/{depOnboardingSetting-id}
v1.0-beta, Get-MgDeviceManagementDepOnboardingSettingDefaultIoEnrollmentProfile, /deviceManagement/depOnboardingSettings/{depOnboardingSetting-id}/defaultIosEnrollmentProfile
v1.0-beta, Get-MgDeviceManagementDepOnboardingSettingDefaultMacOSEnrollmentProfile, /deviceManagement/depOnboardingSettings/{depOnboardingSetting-id}/defaultMacOsEnrollmentProfile
v1.0-beta, Get-MgDeviceManagementDepOnboardingSettingEnrollmentProfile, /deviceManagement/depOnboardingSettings/{depOnboardingSetting-id}/enrollmentProfiles/{enrollmentProfile-id}
v1.0-beta, Get-MgDeviceManagementDepOnboardingSettingImportedAppleDeviceIdentity, /deviceManagement/depOnboardingSettings/{depOnboardingSetting-id}/importedAppleDeviceIdentities/{importedAppleDeviceIdentity-id}
v1.0-beta, Get-MgDeviceManagementDeviceEnrollmentConfiguration, /deviceManagement/deviceEnrollmentConfigurations
v1.0-beta, Get-MgDeviceManagementDeviceEnrollmentConfigurationAssignment, /deviceManagement/deviceEnrollmentConfigurations/{deviceEnrollmentConfiguration-id}/assignments
v1.0-beta, Get-MgDeviceManagementImportedDeviceIdentity, /deviceManagement/importedDeviceIdentities/{importedDeviceIdentity-id}
