Graph profile, Command, UriPath
v1.0, Get-MgPrint, /print
v1.0, Get-MgPrintOperation, /print/operations
v1.0, Get-MgPrintPrinterTaskTriggerDefinition, /print/printers/{printer-id}/taskTriggers/{printTaskTrigger-id}/definition
v1.0, Get-MgPrintSharePrinter, /print/shares/{printerShare-id}/printer
v1.0, Get-MgPrintTaskDefinitionTaskTrigger, /print/taskDefinitions/{printTaskDefinition-id}/tasks/{printTask-id}/trigger
v1.0, New-MgPrintOperation, /print/operations
v1.0, Remove-MgPrintConnector, /print/connectors/{printConnector-id}
v1.0, Remove-MgPrintOperation, /print/operations/{printOperation-id}
v1.0, Remove-MgPrintPrinter, /print/printers/{printer-id}
v1.0, Remove-MgPrintPrinterTaskTrigger, /print/printers/{printer-id}/taskTriggers/{printTaskTrigger-id}
v1.0, Remove-MgPrintService, /print/services/{printService-id}
v1.0, Remove-MgPrintServiceEndpoint, /print/services/{printService-id}/endpoints/{printServiceEndpoint-id}
v1.0, Remove-MgPrintShare, /print/shares/{printerShare-id}
v1.0, Remove-MgPrintTaskDefinition, /print/taskDefinitions/{printTaskDefinition-id}
v1.0, Remove-MgPrintTaskDefinitionTask, /print/taskDefinitions/{printTaskDefinition-id}/tasks/{printTask-id}
v1.0, Update-MgPrint, /print
v1.0, Update-MgPrintConnector, /print/connectors/{printConnector-id}
v1.0, Update-MgPrintOperation, /print/operations/{printOperation-id}
v1.0, Update-MgPrintPrinter, /print/printers/{printer-id}
v1.0, Update-MgPrintPrinterTaskTrigger, /print/printers/{printer-id}/taskTriggers/{printTaskTrigger-id}
v1.0, Update-MgPrintService, /print/services/{printService-id}
v1.0, Update-MgPrintServiceEndpoint, /print/services/{printService-id}/endpoints/{printServiceEndpoint-id}
v1.0, Update-MgPrintShare, /print/shares/{printerShare-id}
v1.0, Update-MgPrintTaskDefinition, /print/taskDefinitions/{printTaskDefinition-id}
v1.0, Update-MgPrintTaskDefinitionTask, /print/taskDefinitions/{printTaskDefinition-id}/tasks/{printTask-id}
v1.0-beta, Get-MgPrint, /print
v1.0-beta, Get-MgPrintOperation, /print/operations
v1.0-beta, Get-MgPrintPrinterCapability, /print/printers/{printer-id}/getCapabilities
v1.0-beta, Get-MgPrintPrinterShareAllowedGroup, /print/printerShares/{printerShare-id}/allowedGroups
v1.0-beta, Get-MgPrintPrinterShareAllowedUser, /print/printerShares/{printerShare-id}/allowedUsers
v1.0-beta, Get-MgPrintPrinterSharePrinter, /print/printerShares/{printerShare-id}/printer
v1.0-beta, Get-MgPrintPrinterTaskTriggerDefinition, /print/printers/{printer-id}/taskTriggers/{printTaskTrigger-id}/definition
v1.0-beta, Get-MgPrintSharePrinter, /print/shares/{printerShare-id}/printer
v1.0-beta, Get-MgPrintTaskDefinitionTaskTrigger, /print/taskDefinitions/{printTaskDefinition-id}/tasks/{printTask-id}/trigger
v1.0-beta, New-MgPrintOperation, /print/operations
v1.0-beta, New-MgPrintPrinterShare, /print/printerShares
v1.0-beta, Remove-MgPrintConnector, /print/connectors/{printConnector-id}
v1.0-beta, Remove-MgPrintOperation, /print/operations/{printOperation-id}
v1.0-beta, Remove-MgPrintPrinter, /print/printers/{printer-id}
v1.0-beta, Remove-MgPrintPrinterShare, /print/printerShares/{printerShare-id}
