Graph profile, Command, UriPath
v1.0, Get-MgServiceAnnouncementHealthOverviewIssue, /admin/serviceAnnouncement/healthOverviews/{serviceHealth-id}/issues
v1.0, Invoke-MgArchiveServiceAnnouncementMessage, /admin/serviceAnnouncement/messages/archive
v1.0, Invoke-MgFavoriteServiceAnnouncementMessage, /admin/serviceAnnouncement/messages/favorite
v1.0, Invoke-MgMarkServiceAnnouncementMessageRead, /admin/serviceAnnouncement/messages/markRead
v1.0, Invoke-MgMarkServiceAnnouncementMessageUnread, /admin/serviceAnnouncement/messages/markUnread
v1.0, Invoke-MgReportServiceAnnouncementHealthOverviewIssueIncident, /admin/serviceAnnouncement/healthOverviews/{serviceHealth-id}/issues/{serviceHealthIssue-id}/incidentReport
v1.0, Invoke-MgReportServiceAnnouncementIssueIncident, /admin/serviceAnnouncement/issues/{serviceHealthIssue-id}/incidentReport
v1.0, Invoke-MgUnarchiveServiceAnnouncementMessage, /admin/serviceAnnouncement/messages/unarchive
v1.0, Invoke-MgUnfavoriteServiceAnnouncementMessage, /admin/serviceAnnouncement/messages/unfavorite
v1.0, New-MgServiceAnnouncementHealthOverviewIssue, /admin/serviceAnnouncement/healthOverviews/{serviceHealth-id}/issues
v1.0, Remove-MgServiceAnnouncementHealthOverview, /admin/serviceAnnouncement/healthOverviews/{serviceHealth-id}
v1.0, Remove-MgServiceAnnouncementHealthOverviewIssue, /admin/serviceAnnouncement/healthOverviews/{serviceHealth-id}/issues/{serviceHealthIssue-id}
v1.0, Remove-MgServiceAnnouncementIssue, /admin/serviceAnnouncement/issues/{serviceHealthIssue-id}
v1.0, Remove-MgServiceAnnouncementMessage, /admin/serviceAnnouncement/messages/{serviceUpdateMessage-id}
v1.0, Remove-MgServiceAnnouncementMessageAttachment, /admin/serviceAnnouncement/messages/{serviceUpdateMessage-id}/attachments/{serviceAnnouncementAttachment-id}
v1.0, Update-MgServiceAnnouncementHealthOverview, /admin/serviceAnnouncement/healthOverviews/{serviceHealth-id}
v1.0, Update-MgServiceAnnouncementHealthOverviewIssue, /admin/serviceAnnouncement/healthOverviews/{serviceHealth-id}/issues/{serviceHealthIssue-id}
v1.0, Update-MgServiceAnnouncementIssue, /admin/serviceAnnouncement/issues/{serviceHealthIssue-id}
v1.0, Update-MgServiceAnnouncementMessage, /admin/serviceAnnouncement/messages/{serviceUpdateMessage-id}
v1.0, Update-MgServiceAnnouncementMessageAttachment, /admin/serviceAnnouncement/messages/{serviceUpdateMessage-id}/attachments/{serviceAnnouncementAttachment-id}
v1.0-beta, Get-MgServiceAnnouncementHealthOverviewIssue, /admin/serviceAnnouncement/healthOverviews/{serviceHealth-id}/issues
v1.0-beta, Invoke-MgArchiveServiceAnnouncementMessage, /admin/serviceAnnouncement/messages/archive
v1.0-beta, Invoke-MgFavoriteServiceAnnouncementMessage, /admin/serviceAnnouncement/messages/favorite
v1.0-beta, Invoke-MgMarkServiceAnnouncementMessageRead, /admin/serviceAnnouncement/messages/markRead
v1.0-beta, Invoke-MgMarkServiceAnnouncementMessageUnread, /admin/serviceAnnouncement/messages/markUnread
