Graph profile, Command, UriPath
beta, Get-MgBetaFinancial, /financials
beta, Get-MgBetaFinancialCompany, /financials/companies/{company-id}
beta, Get-MgBetaFinancialCompanyAccount, /financials/companies/{company-id}/accounts/{account-id}
beta, Get-MgBetaFinancialCompanyAccountCount, /financials/companies/{company-id}/accounts/$count
beta, Get-MgBetaFinancialCompanyAgedAccountPayable, /financials/companies/{company-id}/agedAccountsPayable/{agedAccountsPayable-id}
beta, Get-MgBetaFinancialCompanyAgedAccountPayableCount, /financials/companies/{company-id}/agedAccountsPayable/$count
beta, Get-MgBetaFinancialCompanyAgedAccountReceivable, /financials/companies/{company-id}/agedAccountsReceivable/{agedAccountsReceivable-id}
beta, Get-MgBetaFinancialCompanyAgedAccountReceivableCount, /financials/companies/{company-id}/agedAccountsReceivable/$count
beta, Get-MgBetaFinancialCompanyCount, /financials/companies/$count
beta, Get-MgBetaFinancialCompanyCountryRegion, /financials/companies/{company-id}/countriesRegions/{countryRegion-id}
beta, Get-MgBetaFinancialCompanyCountryRegionCount, /financials/companies/{company-id}/countriesRegions/$count
beta, Get-MgBetaFinancialCompanyCurrency, /financials/companies/{company-id}/currencies/{currency-id}
beta, Get-MgBetaFinancialCompanyCurrencyCount, /financials/companies/{company-id}/currencies/$count
beta, Get-MgBetaFinancialCompanyCustomer, /financials/companies/{company-id}/customers/{customer-id}
beta, Get-MgBetaFinancialCompanyCustomerCount, /financials/companies/{company-id}/customers/$count
beta, Get-MgBetaFinancialCompanyCustomerCurrency, /financials/companies/{company-id}/customers/{customer-id}/currency
beta, Get-MgBetaFinancialCompanyCustomerPayment, /financials/companies/{company-id}/customerPayments/{customerPayment-id}
beta, Get-MgBetaFinancialCompanyCustomerPaymentCount, /financials/companies/{company-id}/customerPayments/$count
beta, Get-MgBetaFinancialCompanyCustomerPaymentCustomer, /financials/companies/{company-id}/customerPayments/{customerPayment-id}/customer
beta, Get-MgBetaFinancialCompanyCustomerPaymentCustomerCurrency, /financials/companies/{company-id}/customerPayments/{customerPayment-id}/customer/currency
beta, Get-MgBetaFinancialCompanyCustomerPaymentCustomerPicture, /financials/companies/{company-id}/customerPayments/{customerPayment-id}/customer/picture/{picture-id}
beta, Get-MgBetaFinancialCompanyCustomerPaymentCustomerPictureContent, /financials/companies/{company-id}/customerPayments/{customerPayment-id}/customer/picture/{picture-id}/content
beta, Get-MgBetaFinancialCompanyCustomerPaymentCustomerPictureCount, /financials/companies/{company-id}/customerPayments/{customerPayment-id}/customer/picture/$count
beta, Get-MgBetaFinancialCompanyCustomerPaymentCustomerShipmentMethod, /financials/companies/{company-id}/customerPayments/{customerPayment-id}/customer/shipmentMethod
beta, Get-MgBetaFinancialCompanyCustomerPaymentJournal, /financials/companies/{company-id}/customerPaymentJournals/{customerPaymentJournal-id}
beta, Get-MgBetaFinancialCompanyCustomerPaymentJournalAccount, /financials/companies/{company-id}/customerPaymentJournals/{customerPaymentJournal-id}/account
beta, Get-MgBetaFinancialCompanyCustomerPaymentJournalCount, /financials/companies/{company-id}/customerPaymentJournals/$count
beta, Get-MgBetaFinancialCompanyCustomerPaymentJournalCustomerPayment, /financials/companies/{company-id}/customerPaymentJournals/{customerPaymentJournal-id}/customerPayments/{customerPayment-id}
beta, Get-MgBetaFinancialCompanyCustomerPaymentJournalCustomerPaymentCount, /financials/companies/{company-id}/customerPaymentJournals/{customerPaymentJournal-id}/customerPayments/$count
beta, Get-MgBetaFinancialCompanyCustomerPaymentJournalCustomerPaymentCustomer, /financials/companies/{company-id}/customerPaymentJournals/{customerPaymentJournal-id}/customerPayments/{customerPayment-id}/customer
beta, Get-MgBetaFinancialCompanyCustomerPaymentJournalCustomerPaymentCustomerCurrency, /financials/companies/{company-id}/customerPaymentJournals/{customerPaymentJournal-id}/customerPayments/{customerPayment-id}/customer/currency
beta, Get-MgBetaFinancialCompanyCustomerPaymentJournalCustomerPaymentCustomerPicture, /financials/companies/{company-id}/customerPaymentJournals/{customerPaymentJournal-id}/customerPayments/{customerPayment-id}/customer/picture/{picture-id}
beta, Get-MgBetaFinancialCompanyCustomerPaymentJournalCustomerPaymentCustomerPictureContent, /financials/companies/{company-id}/customerPaymentJournals/{customerPaymentJournal-id}/customerPayments/{customerPayment-id}/customer/picture/{picture-id}/content
beta, Get-MgBetaFinancialCompanyCustomerPaymentJournalCustomerPaymentCustomerPictureCount, /financials/companies/{company-id}/customerPaymentJournals/{customerPaymentJournal-id}/customerPayments/{customerPayment-id}/customer/picture/$count
beta, Get-MgBetaFinancialCompanyCustomerPaymentJournalCustomerPaymentCustomerShipmentMethod, /financials/companies/{company-id}/customerPaymentJournals/{customerPaymentJournal-id}/customerPayments/{customerPayment-id}/customer/shipmentMethod
beta, Get-MgBetaFinancialCompanyCustomerPaymentJournalCustomerPaymentMethod, /financials/companies/{company-id}/customerPaymentJournals/{customerPaymentJournal-id}/customerPayments/{customerPayment-id}/customer/paymentMethod
beta, Get-MgBetaFinancialCompanyCustomerPaymentJournalCustomerPaymentTerm, /financials/companies/{company-id}/customerPaymentJournals/{customerPaymentJournal-id}/customerPayments/{customerPayment-id}/customer/paymentTerm
beta, Get-MgBetaFinancialCompanyCustomerPaymentMethod, /financials/companies/{company-id}/customerPayments/{customerPayment-id}/customer/paymentMethod
beta, Get-MgBetaFinancialCompanyCustomerPaymentTerm, /financials/companies/{company-id}/customerPayments/{customerPayment-id}/customer/paymentTerm
beta, Get-MgBetaFinancialCompanyCustomerPicture, /financials/companies/{company-id}/customers/{customer-id}/picture/{picture-id}
beta, Get-MgBetaFinancialCompanyCustomerPictureContent, /financials/companies/{company-id}/customers/{customer-id}/picture/{picture-id}/content
beta, Get-MgBetaFinancialCompanyCustomerPictureCount, /financials/companies/{company-id}/customers/{customer-id}/picture/$count
beta, Get-MgBetaFinancialCompanyCustomerShipmentMethod, /financials/companies/{company-id}/customers/{customer-id}/shipmentMethod
beta, Get-MgBetaFinancialCompanyDimension, /financials/companies/{company-id}/dimensions/{dimension-id}
beta, Get-MgBetaFinancialCompanyDimensionCount, /financials/companies/{company-id}/dimensions/$count
beta, Get-MgBetaFinancialCompanyDimensionValue, /financials/companies/{company-id}/dimensionValues/{dimensionValue-id}
beta, Get-MgBetaFinancialCompanyDimensionValueCount, /financials/companies/{company-id}/dimensions/{dimension-id}/dimensionValues/$count
beta, Get-MgBetaFinancialCompanyEmployee, /financials/companies/{company-id}/employees/{employee-id}
beta, Get-MgBetaFinancialCompanyEmployeeCount, /financials/companies/{company-id}/employees/$count
beta, Get-MgBetaFinancialCompanyEmployeePicture, /financials/companies/{company-id}/employees/{employee-id}/picture/{picture-id}
beta, Get-MgBetaFinancialCompanyEmployeePictureContent, /financials/companies/{company-id}/employees/{employee-id}/picture/{picture-id}/content
beta, Get-MgBetaFinancialCompanyEmployeePictureCount, /financials/companies/{company-id}/employees/{employee-id}/picture/$count
beta, Get-MgBetaFinancialCompanyGeneralLedgerEntry, /financials/companies/{company-id}/generalLedgerEntries/{generalLedgerEntry-id}
beta, Get-MgBetaFinancialCompanyGeneralLedgerEntryAccount, /financials/companies/{company-id}/generalLedgerEntries/{generalLedgerEntry-id}/account
beta, Get-MgBetaFinancialCompanyGeneralLedgerEntryCount, /financials/companies/{company-id}/generalLedgerEntries/$count
beta, Get-MgBetaFinancialCompanyInformation, /financials/companies/{company-id}/companyInformation/{companyInformation-id}
beta, Get-MgBetaFinancialCompanyInformationCount, /financials/companies/{company-id}/companyInformation/$count
beta, Get-MgBetaFinancialCompanyInformationPicture, /financials/companies/{company-id}/companyInformation/{companyInformation-id}/picture
beta, Get-MgBetaFinancialCompanyItem, /financials/companies/{company-id}/items/{item-id}
beta, Get-MgBetaFinancialCompanyItemCategory, /financials/companies/{company-id}/itemCategories/{itemCategory-id}
beta, Get-MgBetaFinancialCompanyItemCategoryCount, /financials/companies/{company-id}/itemCategories/$count
beta, Get-MgBetaFinancialCompanyItemCount, /financials/companies/{company-id}/items/$count
beta, Get-MgBetaFinancialCompanyItemPicture, /financials/companies/{company-id}/items/{item-id}/picture/{picture-id}
beta, Get-MgBetaFinancialCompanyItemPictureContent, /financials/companies/{company-id}/items/{item-id}/picture/{picture-id}/content
beta, Get-MgBetaFinancialCompanyItemPictureCount, /financials/companies/{company-id}/items/{item-id}/picture/$count
beta, Get-MgBetaFinancialCompanyJournal, /financials/companies/{company-id}/journals/{journal-id}
beta, Get-MgBetaFinancialCompanyJournalAccount, /financials/companies/{company-id}/journals/{journal-id}/account
beta, Get-MgBetaFinancialCompanyJournalCount, /financials/companies/{company-id}/journals/$count
beta, Get-MgBetaFinancialCompanyJournalLine, /financials/companies/{company-id}/journalLines/{journalLine-id}
beta, Get-MgBetaFinancialCompanyJournalLineAccount, /financials/companies/{company-id}/journalLines/{journalLine-id}/account
beta, Get-MgBetaFinancialCompanyJournalLineCount, /financials/companies/{company-id}/journalLines/$count
beta, Get-MgBetaFinancialCompanyPaymentMethod, /financials/companies/{company-id}/paymentMethods/{paymentMethod-id}
beta, Get-MgBetaFinancialCompanyPaymentMethodCount, /financials/companies/{company-id}/paymentMethods/$count
beta, Get-MgBetaFinancialCompanyPaymentTerm, /financials/companies/{company-id}/paymentTerms/{paymentTerm-id}
beta, Get-MgBetaFinancialCompanyPaymentTermCount, /financials/companies/{company-id}/paymentTerms/$count
beta, Get-MgBetaFinancialCompanyPicture, /financials/companies/{company-id}/picture/{picture-id}
beta, Get-MgBetaFinancialCompanyPictureContent, /financials/companies/{company-id}/picture/{picture-id}/content
beta, Get-MgBetaFinancialCompanyPictureCount, /financials/companies/{company-id}/picture/$count
beta, Get-MgBetaFinancialCompanyPurchaseInvoice, /financials/companies/{company-id}/purchaseInvoices/{purchaseInvoice-id}
beta, Get-MgBetaFinancialCompanyPurchaseInvoiceCount, /financials/companies/{company-id}/purchaseInvoices/$count
beta, Get-MgBetaFinancialCompanyPurchaseInvoiceCurrency, /financials/companies/{company-id}/purchaseInvoices/{purchaseInvoice-id}/currency
beta, Get-MgBetaFinancialCompanyPurchaseInvoiceLine, /financials/companies/{company-id}/purchaseInvoiceLines/{purchaseInvoiceLine-id}
beta, Get-MgBetaFinancialCompanyPurchaseInvoiceLineAccount, /financials/companies/{company-id}/purchaseInvoiceLines/{purchaseInvoiceLine-id}/account
beta, Get-MgBetaFinancialCompanyPurchaseInvoiceLineCount, /financials/companies/{company-id}/purchaseInvoiceLines/$count
beta, Get-MgBetaFinancialCompanyPurchaseInvoiceLineItem, /financials/companies/{company-id}/purchaseInvoiceLines/{purchaseInvoiceLine-id}/item
beta, Get-MgBetaFinancialCompanyPurchaseInvoiceLineItemCategory, /financials/companies/{company-id}/purchaseInvoiceLines/{purchaseInvoiceLine-id}/item/itemCategory
beta, Get-MgBetaFinancialCompanyPurchaseInvoiceLineItemPicture, /financials/companies/{company-id}/purchaseInvoiceLines/{purchaseInvoiceLine-id}/item/picture/{picture-id}
beta, Get-MgBetaFinancialCompanyPurchaseInvoiceLineItemPictureContent, /financials/companies/{company-id}/purchaseInvoiceLines/{purchaseInvoiceLine-id}/item/picture/{picture-id}/content
beta, Get-MgBetaFinancialCompanyPurchaseInvoiceLineItemPictureCount, /financials/companies/{company-id}/purchaseInvoiceLines/{purchaseInvoiceLine-id}/item/picture/$count
beta, Get-MgBetaFinancialCompanyPurchaseInvoiceVendor, /financials/companies/{company-id}/purchaseInvoices/{purchaseInvoice-id}/vendor
beta, Get-MgBetaFinancialCompanyPurchaseInvoiceVendorCurrency, /financials/companies/{company-id}/purchaseInvoices/{purchaseInvoice-id}/vendor/currency
beta, Get-MgBetaFinancialCompanyPurchaseInvoiceVendorPaymentMethod, /financials/companies/{company-id}/purchaseInvoices/{purchaseInvoice-id}/vendor/paymentMethod
beta, Get-MgBetaFinancialCompanyPurchaseInvoiceVendorPaymentTerm, /financials/companies/{company-id}/purchaseInvoices/{purchaseInvoice-id}/vendor/paymentTerm
beta, Get-MgBetaFinancialCompanyPurchaseInvoiceVendorPicture, /financials/companies/{company-id}/purchaseInvoices/{purchaseInvoice-id}/vendor/picture/{picture-id}
beta, Get-MgBetaFinancialCompanyPurchaseInvoiceVendorPictureContent, /financials/companies/{company-id}/purchaseInvoices/{purchaseInvoice-id}/vendor/picture/{picture-id}/content
