Graph profile, Command, UriPath
v1.0, Add-MgGroupDriveListContentTypeCopy, /groups/{group-id}/drives/{drive-id}/list/contentTypes/addCopy
v1.0, Add-MgGroupDriveListContentTypeCopyFromContentTypeHub, /groups/{group-id}/drives/{drive-id}/list/contentTypes/addCopyFromContentTypeHub
v1.0, Add-MgGroupFavorite, /groups/{group-id}/addFavorite
v1.0, Add-MgGroupSite, /groups/{group-id}/sites/add
v1.0, Add-MgGroupSiteContentTypeCopy, /groups/{group-id}/sites/{site-id}/contentTypes/addCopy
v1.0, Add-MgGroupSiteContentTypeCopyFromContentTypeHub, /groups/{group-id}/sites/{site-id}/contentTypes/addCopyFromContentTypeHub
v1.0, Add-MgGroupSiteListContentTypeCopy, /groups/{group-id}/sites/{site-id}/lists/{list-id}/contentTypes/addCopy
v1.0, Add-MgGroupSiteListContentTypeCopyFromContentTypeHub, /groups/{group-id}/sites/{site-id}/lists/{list-id}/contentTypes/addCopyFromContentTypeHub
v1.0, Add-MgGroupToLifecyclePolicy, /groupLifecyclePolicies/{groupLifecyclePolicy-id}/addGroup
v1.0, Confirm-MgGroupMemberGroup, /groups/{group-id}/checkMemberGroups
v1.0, Confirm-MgGroupMemberObject, /groups/{group-id}/checkMemberObjects
v1.0, Confirm-MgGroupPermissionGrantMemberGroup, /groups/{group-id}/permissionGrants/{resourceSpecificPermissionGrant-id}/checkMemberGroups
v1.0, Confirm-MgGroupPermissionGrantMemberObject, /groups/{group-id}/permissionGrants/{resourceSpecificPermissionGrant-id}/checkMemberObjects
v1.0, Copy-MgGroupDriveItem, /groups/{group-id}/drives/{drive-id}/items/{driveItem-id}/copy
v1.0, Copy-MgGroupDriveListContentTypeToDefaultContentLocation, /groups/{group-id}/drives/{drive-id}/list/contentTypes/{contentType-id}/copyToDefaultContentLocation
v1.0, Copy-MgGroupDriveRoot, /groups/{group-id}/drives/{drive-id}/root/copy
v1.0, Copy-MgGroupOnenoteNotebook, /groups/{group-id}/onenote/notebooks/{notebook-id}/copyNotebook
v1.0, Copy-MgGroupOnenotePageToSection, /groups/{group-id}/onenote/pages/{onenotePage-id}/copyToSection
v1.0, Copy-MgGroupOnenoteSectionToNotebook, /groups/{group-id}/onenote/sections/{onenoteSection-id}/copyToNotebook
v1.0, Copy-MgGroupOnenoteSectionToSectionGroup, /groups/{group-id}/onenote/sections/{onenoteSection-id}/copyToSectionGroup
v1.0, Copy-MgGroupSiteContentTypeToDefaultContentLocation, /groups/{group-id}/sites/{site-id}/contentTypes/{contentType-id}/copyToDefaultContentLocation
v1.0, Copy-MgGroupSiteListContentTypeToDefaultContentLocation, /groups/{group-id}/sites/{site-id}/lists/{list-id}/contentTypes/{contentType-id}/copyToDefaultContentLocation
v1.0, Get-MgGroupById, /groups/getByIds
v1.0, Get-MgGroupCalendarEventDelta, /groups/{group-id}/calendar/events/delta
v1.0, Get-MgGroupCalendarSchedule, /groups/{group-id}/calendar/getSchedule
v1.0, Get-MgGroupConversationThreadPostExtension, /groups/{group-id}/conversations/{conversation-id}/threads/{conversationThread-id}/posts/{post-id}/extensions
v1.0, Get-MgGroupConversationThreadPostInReplyToExtension, /groups/{group-id}/conversations/{conversation-id}/threads/{conversationThread-id}/posts/{post-id}/inReplyTo/extensions
v1.0, Get-MgGroupConversationThreadPostInReplyToMultiValueExtendedProperty, /groups/{group-id}/conversations/{conversation-id}/threads/{conversationThread-id}/posts/{post-id}/inReplyTo/multiValueExtendedProperties
v1.0, Get-MgGroupConversationThreadPostInReplyToSingleValueExtendedProperty, /groups/{group-id}/conversations/{conversation-id}/threads/{conversationThread-id}/posts/{post-id}/inReplyTo/singleValueExtendedProperties
v1.0, Get-MgGroupConversationThreadPostMultiValueExtendedProperty, /groups/{group-id}/conversations/{conversation-id}/threads/{conversationThread-id}/posts/{post-id}/multiValueExtendedProperties
v1.0, Get-MgGroupConversationThreadPostSingleValueExtendedProperty, /groups/{group-id}/conversations/{conversation-id}/threads/{conversationThread-id}/posts/{post-id}/singleValueExtendedProperties
v1.0, Get-MgGroupCreatedOnBehalfOf, /groups/{group-id}/createdOnBehalfOf
v1.0, Get-MgGroupDelta, /groups/delta
v1.0, Get-MgGroupDriveItemActivityByInterval, /groups/{group-id}/drives/{drive-id}/items/{driveItem-id}/getActivitiesByInterval
v1.0, Get-MgGroupDriveItemDelta, /groups/{group-id}/drives/{drive-id}/items/{driveItem-id}/delta
v1.0, Get-MgGroupDriveItemListItemActivityByInterval, /groups/{group-id}/drives/{drive-id}/items/{driveItem-id}/listItem/getActivitiesByInterval
v1.0, Get-MgGroupDriveListContentTypeCompatibleHubContentType, /groups/{group-id}/drives/{drive-id}/list/contentTypes/getCompatibleHubContentTypes
