Graph profile, Command, UriPath
beta, Get-MgBetaTenantRelationshipDelegatedAdminCustomerCount, /tenantRelationships/delegatedAdminCustomers/$count
beta, Get-MgBetaTenantRelationshipDelegatedAdminCustomerServiceManagementDetail, /tenantRelationships/delegatedAdminCustomers/{delegatedAdminCustomer-id}/serviceManagementDetails/{delegatedAdminServiceManagementDetail-id}
beta, Get-MgBetaTenantRelationshipDelegatedAdminCustomerServiceManagementDetailCount, /tenantRelationships/delegatedAdminCustomers/{delegatedAdminCustomer-id}/serviceManagementDetails/$count
beta, Get-MgBetaTenantRelationshipDelegatedAdminRelationshipAccessAssignmentCount, /tenantRelationships/delegatedAdminRelationships/{delegatedAdminRelationship-id}/accessAssignments/$count
beta, Get-MgBetaTenantRelationshipDelegatedAdminRelationshipCount, /tenantRelationships/delegatedAdminRelationships/$count
beta, Get-MgBetaTenantRelationshipDelegatedAdminRelationshipOperationCount, /tenantRelationships/delegatedAdminRelationships/{delegatedAdminRelationship-id}/operations/$count
beta, Get-MgBetaTenantRelationshipDelegatedAdminRelationshipRequestCount, /tenantRelationships/delegatedAdminRelationships/{delegatedAdminRelationship-id}/requests/$count
beta, New-MgBetaTenantRelationshipDelegatedAdminCustomer, /tenantRelationships/delegatedAdminCustomers
beta, New-MgBetaTenantRelationshipDelegatedAdminCustomerServiceManagementDetail, /tenantRelationships/delegatedAdminCustomers/{delegatedAdminCustomer-id}/serviceManagementDetails
beta, New-MgBetaTenantRelationshipDelegatedAdminRelationshipOperation, /tenantRelationships/delegatedAdminRelationships/{delegatedAdminRelationship-id}/operations
beta, Remove-MgBetaTenantRelationshipDelegatedAdminCustomer, /tenantRelationships/delegatedAdminCustomers/{delegatedAdminCustomer-id}
beta, Remove-MgBetaTenantRelationshipDelegatedAdminCustomerServiceManagementDetail, /tenantRelationships/delegatedAdminCustomers/{delegatedAdminCustomer-id}/serviceManagementDetails/{delegatedAdminServiceManagementDetail-id}
beta, Remove-MgBetaTenantRelationshipDelegatedAdminRelationshipOperation, /tenantRelationships/delegatedAdminRelationships/{delegatedAdminRelationship-id}/operations/{delegatedAdminRelationshipOperation-id}
beta, Remove-MgBetaTenantRelationshipDelegatedAdminRelationshipRequest, /tenantRelationships/delegatedAdminRelationships/{delegatedAdminRelationship-id}/requests/{delegatedAdminRelationshipRequest-id}
beta, Update-MgBetaTenantRelationshipDelegatedAdminCustomer, /tenantRelationships/delegatedAdminCustomers/{delegatedAdminCustomer-id}
beta, Update-MgBetaTenantRelationshipDelegatedAdminCustomerServiceManagementDetail, /tenantRelationships/delegatedAdminCustomers/{delegatedAdminCustomer-id}/serviceManagementDetails/{delegatedAdminServiceManagementDetail-id}
beta, Update-MgBetaTenantRelationshipDelegatedAdminRelationshipOperation, /tenantRelationships/delegatedAdminRelationships/{delegatedAdminRelationship-id}/operations/{delegatedAdminRelationshipOperation-id}
beta, Update-MgBetaTenantRelationshipDelegatedAdminRelationshipRequest, /tenantRelationships/delegatedAdminRelationships/{delegatedAdminRelationship-id}/requests/{delegatedAdminRelationshipRequest-id}
v1.0, Get-MgTenantRelationshipDelegatedAdminCustomerCount, /tenantRelationships/delegatedAdminCustomers/$count
v1.0, Get-MgTenantRelationshipDelegatedAdminCustomerServiceManagementDetailCount, /tenantRelationships/delegatedAdminCustomers/{delegatedAdminCustomer-id}/serviceManagementDetails/$count
v1.0, Get-MgTenantRelationshipDelegatedAdminRelationshipAccessAssignmentCount, /tenantRelationships/delegatedAdminRelationships/{delegatedAdminRelationship-id}/accessAssignments/$count
v1.0, Get-MgTenantRelationshipDelegatedAdminRelationshipCount, /tenantRelationships/delegatedAdminRelationships/$count
v1.0, Get-MgTenantRelationshipDelegatedAdminRelationshipOperationCount, /tenantRelationships/delegatedAdminRelationships/{delegatedAdminRelationship-id}/operations/$count
v1.0, Get-MgTenantRelationshipDelegatedAdminRelationshipRequestCount, /tenantRelationships/delegatedAdminRelationships/{delegatedAdminRelationship-id}/requests/$count
v1.0, New-MgTenantRelationshipDelegatedAdminCustomer, /tenantRelationships/delegatedAdminCustomers
v1.0, New-MgTenantRelationshipDelegatedAdminCustomerServiceManagementDetail, /tenantRelationships/delegatedAdminCustomers/{delegatedAdminCustomer-id}/serviceManagementDetails
v1.0, New-MgTenantRelationshipDelegatedAdminRelationshipOperation, /tenantRelationships/delegatedAdminRelationships/{delegatedAdminRelationship-id}/operations
v1.0, Remove-MgTenantRelationshipDelegatedAdminCustomer, /tenantRelationships/delegatedAdminCustomers/{delegatedAdminCustomer-id}
v1.0, Remove-MgTenantRelationshipDelegatedAdminCustomerServiceManagementDetail, /tenantRelationships/delegatedAdminCustomers/{delegatedAdminCustomer-id}/serviceManagementDetails/{delegatedAdminServiceManagementDetail-id}
v1.0, Remove-MgTenantRelationshipDelegatedAdminRelationshipOperation, /tenantRelationships/delegatedAdminRelationships/{delegatedAdminRelationship-id}/operations/{delegatedAdminRelationshipOperation-id}
v1.0, Remove-MgTenantRelationshipDelegatedAdminRelationshipRequest, /tenantRelationships/delegatedAdminRelationships/{delegatedAdminRelationship-id}/requests/{delegatedAdminRelationshipRequest-id}
v1.0, Update-MgTenantRelationshipDelegatedAdminCustomer, /tenantRelationships/delegatedAdminCustomers/{delegatedAdminCustomer-id}
v1.0, Update-MgTenantRelationshipDelegatedAdminCustomerServiceManagementDetail, /tenantRelationships/delegatedAdminCustomers/{delegatedAdminCustomer-id}/serviceManagementDetails/{delegatedAdminServiceManagementDetail-id}
v1.0, Update-MgTenantRelationshipDelegatedAdminRelationshipOperation, /tenantRelationships/delegatedAdminRelationships/{delegatedAdminRelationship-id}/operations/{delegatedAdminRelationshipOperation-id}
v1.0, Update-MgTenantRelationshipDelegatedAdminRelationshipRequest, /tenantRelationships/delegatedAdminRelationships/{delegatedAdminRelationship-id}/requests/{delegatedAdminRelationshipRequest-id}
