Graph profile, Command, UriPath
beta, Get-MgBetaTenantRelationshipManagedTenantAggregatedPolicyCompliance, /tenantRelationships/managedTenants/aggregatedPolicyCompliances/{aggregatedPolicyCompliance-id}
beta, Get-MgBetaTenantRelationshipManagedTenantAggregatedPolicyComplianceCount, /tenantRelationships/managedTenants/aggregatedPolicyCompliances/$count
beta, Get-MgBetaTenantRelationshipManagedTenantAlert, /tenantRelationships/managedTenants/managedTenantAlerts/{managedTenantAlert-id}
beta, Get-MgBetaTenantRelationshipManagedTenantAlertApiNotification, /tenantRelationships/managedTenants/managedTenantAlerts/{managedTenantAlert-id}/apiNotifications/{managedTenantApiNotification-id}
beta, Get-MgBetaTenantRelationshipManagedTenantAlertApiNotificationCount, /tenantRelationships/managedTenants/managedTenantAlerts/{managedTenantAlert-id}/apiNotifications/$count
beta, Get-MgBetaTenantRelationshipManagedTenantAlertCount, /tenantRelationships/managedTenants/managedTenantAlerts/$count
beta, Get-MgBetaTenantRelationshipManagedTenantAlertEmailNotification, /tenantRelationships/managedTenants/managedTenantAlerts/{managedTenantAlert-id}/emailNotifications/{managedTenantEmailNotification-id}
beta, Get-MgBetaTenantRelationshipManagedTenantAlertEmailNotificationCount, /tenantRelationships/managedTenants/managedTenantAlerts/{managedTenantAlert-id}/emailNotifications/$count
beta, Get-MgBetaTenantRelationshipManagedTenantAlertLog, /tenantRelationships/managedTenants/managedTenantAlertLogs/{managedTenantAlertLog-id}
beta, Get-MgBetaTenantRelationshipManagedTenantAlertLogAlert, /tenantRelationships/managedTenants/managedTenantAlertLogs/{managedTenantAlertLog-id}/alert
beta, Get-MgBetaTenantRelationshipManagedTenantAlertLogCount, /tenantRelationships/managedTenants/managedTenantAlertLogs/$count
beta, Get-MgBetaTenantRelationshipManagedTenantAlertRule, /tenantRelationships/managedTenants/managedTenantAlertRules/{managedTenantAlertRule-id}
beta, Get-MgBetaTenantRelationshipManagedTenantAlertRuleAlert, /tenantRelationships/managedTenants/managedTenantAlertRules/{managedTenantAlertRule-id}/alerts/{managedTenantAlert-id}
beta, Get-MgBetaTenantRelationshipManagedTenantAlertRuleAlertCount, /tenantRelationships/managedTenants/managedTenantAlertRules/{managedTenantAlertRule-id}/alerts/$count
beta, Get-MgBetaTenantRelationshipManagedTenantAlertRuleCount, /tenantRelationships/managedTenants/managedTenantAlertRules/$count
