Graph profile, Command, UriPath
v1.0, Get-MgUserLastSharedMethodInsight, /users/{user-id}/insights/shared/{sharedInsight-id}/lastSharedMethod
v1.0, Get-MgUserSharedInsight, /users/{user-id}/insights/shared
v1.0, Get-MgUserSharedResourceInsight, /users/{user-id}/insights/shared/{sharedInsight-id}/resource
v1.0, Get-MgUserTrendingInsight, /users/{user-id}/insights/trending
v1.0, Get-MgUserTrendingResourceInsight, /users/{user-id}/insights/trending/{trending-id}/resource
v1.0, Get-MgUserUsedResourceInsight, /users/{user-id}/insights/used/{usedInsight-id}/resource
v1.0-beta, Get-MgUserActivityStatistics, /users/{user-id}/analytics/activityStatistics/{activityStatistics-id}
v1.0-beta, Get-MgUserProfile, /users/{user-id}/profile
v1.0-beta, Get-MgUserProfileAccount, /users/{user-id}/profile/account/{userAccountInformation-id}
v1.0-beta, Get-MgUserProfileAddress, /users/{user-id}/profile/addresses/{itemAddress-id}
v1.0-beta, Get-MgUserProfileAnniversary, /users/{user-id}/profile/anniversaries/{personAnnualEvent-id}
v1.0-beta, Get-MgUserProfileAward, /users/{user-id}/profile/awards/{personAward-id}
v1.0-beta, Get-MgUserProfileCertification, /users/{user-id}/profile/certifications/{personCertification-id}
v1.0-beta, Get-MgUserProfileEducationalActivity, /users/{user-id}/profile/educationalActivities/{educationalActivity-id}
v1.0-beta, Get-MgUserProfileEmail, /users/{user-id}/profile/emails/{itemEmail-id}
v1.0-beta, Get-MgUserProfileInterest, /users/{user-id}/profile/interests/{personInterest-id}
v1.0-beta, Get-MgUserProfileLanguage, /users/{user-id}/profile/languages/{languageProficiency-id}
v1.0-beta, Get-MgUserProfileName, /users/{user-id}/profile/names/{personName-id}
v1.0-beta, Get-MgUserProfileNote, /users/{user-id}/profile/notes/{personAnnotation-id}
v1.0-beta, Get-MgUserProfilePatent, /users/{user-id}/profile/patents/{itemPatent-id}
v1.0-beta, Get-MgUserProfilePhone, /users/{user-id}/profile/phones/{itemPhone-id}
v1.0-beta, Get-MgUserProfilePosition, /users/{user-id}/profile/positions/{workPosition-id}
v1.0-beta, Get-MgUserProfileProject, /users/{user-id}/profile/projects/{projectParticipation-id}
v1.0-beta, Get-MgUserProfilePublication, /users/{user-id}/profile/publications/{itemPublication-id}
v1.0-beta, Get-MgUserProfileSkill, /users/{user-id}/profile/skills/{skillProficiency-id}
v1.0-beta, Get-MgUserProfileWebAccount, /users/{user-id}/profile/webAccounts/{webAccount-id}
v1.0-beta, Get-MgUserProfileWebsite, /users/{user-id}/profile/websites/{personWebsite-id}
v1.0-beta, New-MgUserProfileAccount, /users/{user-id}/profile/account
v1.0-beta, New-MgUserProfileAddress, /users/{user-id}/profile/addresses
v1.0-beta, New-MgUserProfileAnniversary, /users/{user-id}/profile/anniversaries
v1.0-beta, New-MgUserProfileAward, /users/{user-id}/profile/awards
v1.0-beta, New-MgUserProfileCertification, /users/{user-id}/profile/certifications
v1.0-beta, New-MgUserProfileEducationalActivity, /users/{user-id}/profile/educationalActivities
v1.0-beta, New-MgUserProfileEmail, /users/{user-id}/profile/emails
v1.0-beta, New-MgUserProfileInterest, /users/{user-id}/profile/interests
v1.0-beta, New-MgUserProfileLanguage, /users/{user-id}/profile/languages
v1.0-beta, New-MgUserProfileName, /users/{user-id}/profile/names
v1.0-beta, New-MgUserProfileNote, /users/{user-id}/profile/notes
v1.0-beta, New-MgUserProfilePatent, /users/{user-id}/profile/patents
v1.0-beta, New-MgUserProfilePhone, /users/{user-id}/profile/phones
v1.0-beta, New-MgUserProfilePosition, /users/{user-id}/profile/positions
v1.0-beta, New-MgUserProfileProject, /users/{user-id}/profile/projects
v1.0-beta, New-MgUserProfilePublication, /users/{user-id}/profile/publications
v1.0-beta, New-MgUserProfileSkill, /users/{user-id}/profile/skills
v1.0-beta, New-MgUserProfileWebAccount, /users/{user-id}/profile/webAccounts
v1.0-beta, New-MgUserProfileWebsite, /users/{user-id}/profile/websites
v1.0-beta, Remove-MgUserProfile, /users/{user-id}/profile
v1.0-beta, Remove-MgUserProfileAccount, /users/{user-id}/profile/account/{userAccountInformation-id}
v1.0-beta, Remove-MgUserProfileAddress, /users/{user-id}/profile/addresses/{itemAddress-id}
v1.0-beta, Remove-MgUserProfileAnniversary, /users/{user-id}/profile/anniversaries/{personAnnualEvent-id}
v1.0-beta, Remove-MgUserProfileAward, /users/{user-id}/profile/awards/{personAward-id}
v1.0-beta, Remove-MgUserProfileCertification, /users/{user-id}/profile/certifications/{personCertification-id}
v1.0-beta, Remove-MgUserProfileEducationalActivity, /users/{user-id}/profile/educationalActivities/{educationalActivity-id}
v1.0-beta, Remove-MgUserProfileEmail, /users/{user-id}/profile/emails/{itemEmail-id}
v1.0-beta, Remove-MgUserProfileInterest, /users/{user-id}/profile/interests/{personInterest-id}
v1.0-beta, Remove-MgUserProfileLanguage, /users/{user-id}/profile/languages/{languageProficiency-id}
v1.0-beta, Remove-MgUserProfileName, /users/{user-id}/profile/names/{personName-id}
v1.0-beta, Remove-MgUserProfileNote, /users/{user-id}/profile/notes/{personAnnotation-id}
v1.0-beta, Remove-MgUserProfilePatent, /users/{user-id}/profile/patents/{itemPatent-id}
v1.0-beta, Remove-MgUserProfilePhone, /users/{user-id}/profile/phones/{itemPhone-id}
v1.0-beta, Remove-MgUserProfilePosition, /users/{user-id}/profile/positions/{workPosition-id}
v1.0-beta, Remove-MgUserProfileProject, /users/{user-id}/profile/projects/{projectParticipation-id}
v1.0-beta, Remove-MgUserProfilePublication, /users/{user-id}/profile/publications/{itemPublication-id}
v1.0-beta, Remove-MgUserProfileSkill, /users/{user-id}/profile/skills/{skillProficiency-id}
v1.0-beta, Remove-MgUserProfileWebAccount, /users/{user-id}/profile/webAccounts/{webAccount-id}
v1.0-beta, Remove-MgUserProfileWebsite, /users/{user-id}/profile/websites/{personWebsite-id}
v1.0-beta, Update-MgUserProfile, /users/{user-id}/profile
v1.0-beta, Update-MgUserProfileAccount, /users/{user-id}/profile/account/{userAccountInformation-id}
v1.0-beta, Update-MgUserProfileAddress, /users/{user-id}/profile/addresses/{itemAddress-id}
v1.0-beta, Update-MgUserProfileAnniversary, /users/{user-id}/profile/anniversaries/{personAnnualEvent-id}
v1.0-beta, Update-MgUserProfileAward, /users/{user-id}/profile/awards/{personAward-id}
v1.0-beta, Update-MgUserProfileCertification, /users/{user-id}/profile/certifications/{personCertification-id}
v1.0-beta, Update-MgUserProfileEducationalActivity, /users/{user-id}/profile/educationalActivities/{educationalActivity-id}
v1.0-beta, Update-MgUserProfileEmail, /users/{user-id}/profile/emails/{itemEmail-id}
v1.0-beta, Update-MgUserProfileInterest, /users/{user-id}/profile/interests/{personInterest-id}
v1.0-beta, Update-MgUserProfileLanguage, /users/{user-id}/profile/languages/{languageProficiency-id}
v1.0-beta, Update-MgUserProfileName, /users/{user-id}/profile/names/{personName-id}
v1.0-beta, Update-MgUserProfileNote, /users/{user-id}/profile/notes/{personAnnotation-id}
v1.0-beta, Update-MgUserProfilePatent, /users/{user-id}/profile/patents/{itemPatent-id}
v1.0-beta, Update-MgUserProfilePhone, /users/{user-id}/profile/phones/{itemPhone-id}
v1.0-beta, Update-MgUserProfilePosition, /users/{user-id}/profile/positions/{workPosition-id}
v1.0-beta, Update-MgUserProfileProject, /users/{user-id}/profile/projects/{projectParticipation-id}
v1.0-beta, Update-MgUserProfilePublication, /users/{user-id}/profile/publications/{itemPublication-id}
v1.0-beta, Update-MgUserProfileSkill, /users/{user-id}/profile/skills/{skillProficiency-id}
v1.0-beta, Update-MgUserProfileWebAccount, /users/{user-id}/profile/webAccounts/{webAccount-id}
v1.0-beta, Update-MgUserProfileWebsite, /users/{user-id}/profile/websites/{personWebsite-id}
v1.0, Get-MgUserPerson, /users/{user-id}/people
v1.0, Get-MgUserUsedInsight, /users/{user-id}/insights/used
v1.0-beta, Get-MgUserPerson, /users/{user-id}/people
v1.0, Get-MgUserPersonCount, /users/{user-id}/people/$count
v1.0, Get-MgUserSharedCountInsight, /users/{user-id}/insights/shared/$count
v1.0, Get-MgUserSharedInsight, /users/{user-id}/insights/shared/{sharedInsight-id}
v1.0, Get-MgUserTrendingCountInsight, /users/{user-id}/insights/trending/$count
v1.0, Get-MgUserTrendingInsight, /users/{user-id}/insights/trending/{trending-id}
v1.0, Get-MgUserUsedCountInsight, /users/{user-id}/insights/used/$count
beta, Get-MgBetaUserActivityStatistics, /users/{user-id}/analytics/activityStatistics/{activityStatistics-id}
beta, Get-MgBetaUserAnalyticActivityStatisticsCount, /users/{user-id}/analytics/activityStatistics/$count
beta, Get-MgBetaUserPerson, /users/{user-id}/people/{person-id}
beta, Get-MgBetaUserPersonCount, /users/{user-id}/people/$count
beta, Get-MgBetaUserProfileAccountCount, /users/{user-id}/profile/account/$count
beta, Get-MgBetaUserProfileAddressCount, /users/{user-id}/profile/addresses/$count
beta, Get-MgBetaUserProfileAnniversaryCount, /users/{user-id}/profile/anniversaries/$count
beta, Get-MgBetaUserProfileAwardCount, /users/{user-id}/profile/awards/$count
beta, Get-MgBetaUserProfileCertificationCount, /users/{user-id}/profile/certifications/$count
beta, Get-MgBetaUserProfileEducationalActivityCount, /users/{user-id}/profile/educationalActivities/$count
beta, Get-MgBetaUserProfileEmailCount, /users/{user-id}/profile/emails/$count
beta, Get-MgBetaUserProfileInterestCount, /users/{user-id}/profile/interests/$count
beta, Get-MgBetaUserProfileLanguageCount, /users/{user-id}/profile/languages/$count
beta, Get-MgBetaUserProfileNameCount, /users/{user-id}/profile/names/$count
beta, Get-MgBetaUserProfileNoteCount, /users/{user-id}/profile/notes/$count
beta, Get-MgBetaUserProfilePatentCount, /users/{user-id}/profile/patents/$count
beta, Get-MgBetaUserProfilePhoneCount, /users/{user-id}/profile/phones/$count
beta, Get-MgBetaUserProfilePositionCount, /users/{user-id}/profile/positions/$count
beta, Get-MgBetaUserProfileProjectCount, /users/{user-id}/profile/projects/$count
beta, Get-MgBetaUserProfilePublicationCount, /users/{user-id}/profile/publications/$count
beta, Get-MgBetaUserProfileSkillCount, /users/{user-id}/profile/skills/$count
beta, Get-MgBetaUserProfileWebAccountCount, /users/{user-id}/profile/webAccounts/$count
beta, Get-MgBetaUserProfileWebsiteCount, /users/{user-id}/profile/websites/$count
beta, New-MgBetaUserActivityStatistics, /users/{user-id}/analytics/activityStatistics
beta, Remove-MgBetaUserActivityStatistics, /users/{user-id}/analytics/activityStatistics/{activityStatistics-id}
beta, Update-MgBetaUserActivityStatistics, /users/{user-id}/analytics/activityStatistics/{activityStatistics-id}
beta, Update-MgBetaUserProfile, /users/{user-id}/profile
