Graph profile, Command, UriPath
v1.0, Get-MgUserContactExtension, /users/{user-id}/contacts/{contact-id}/extensions
v1.0, Get-MgUserContactFolderContactExtension, /users/{user-id}/contactFolders/{contactFolder-id}/contacts/{contact-id}/extensions
v1.0, Get-MgUserContactFolderContactMultiValueExtendedProperty, /users/{user-id}/contactFolders/{contactFolder-id}/contacts/{contact-id}/multiValueExtendedProperties
v1.0, Get-MgUserContactFolderContactPhoto, /users/{user-id}/contactFolders/{contactFolder-id}/contacts/{contact-id}/photo
v1.0, Get-MgUserContactFolderContactSingleValueExtendedProperty, /users/{user-id}/contactFolders/{contactFolder-id}/contacts/{contact-id}/singleValueExtendedProperties
v1.0, Get-MgUserContactFolderMultiValueExtendedProperty, /users/{user-id}/contactFolders/{contactFolder-id}/multiValueExtendedProperties
v1.0, Get-MgUserContactFolderSingleValueExtendedProperty, /users/{user-id}/contactFolders/{contactFolder-id}/singleValueExtendedProperties
v1.0, Get-MgUserContactMultiValueExtendedProperty, /users/{user-id}/contacts/{contact-id}/multiValueExtendedProperties
v1.0, Get-MgUserContactPhoto, /users/{user-id}/contacts/{contact-id}/photo
v1.0, Get-MgUserContactSingleValueExtendedProperty, /users/{user-id}/contacts/{contact-id}/singleValueExtendedProperties
v1.0, New-MgUserContactExtension, /users/{user-id}/contacts/{contact-id}/extensions
v1.0, New-MgUserContactFolderContactExtension, /users/{user-id}/contactFolders/{contactFolder-id}/contacts/{contact-id}/extensions
v1.0, New-MgUserContactFolderContactMultiValueExtendedProperty, /users/{user-id}/contactFolders/{contactFolder-id}/contacts/{contact-id}/multiValueExtendedProperties
v1.0, New-MgUserContactFolderContactSingleValueExtendedProperty, /users/{user-id}/contactFolders/{contactFolder-id}/contacts/{contact-id}/singleValueExtendedProperties
v1.0, New-MgUserContactFolderMultiValueExtendedProperty, /users/{user-id}/contactFolders/{contactFolder-id}/multiValueExtendedProperties
v1.0, New-MgUserContactFolderSingleValueExtendedProperty, /users/{user-id}/contactFolders/{contactFolder-id}/singleValueExtendedProperties
v1.0, New-MgUserContactMultiValueExtendedProperty, /users/{user-id}/contacts/{contact-id}/multiValueExtendedProperties
v1.0, New-MgUserContactSingleValueExtendedProperty, /users/{user-id}/contacts/{contact-id}/singleValueExtendedProperties
v1.0, Remove-MgUserContact, /users/{user-id}/contacts/{contact-id}
v1.0, Remove-MgUserContactExtension, /users/{user-id}/contacts/{contact-id}/extensions/{extension-id}
v1.0, Remove-MgUserContactFolder, /users/{user-id}/contactFolders/{contactFolder-id}
v1.0, Remove-MgUserContactFolderChildFolder, /users/{user-id}/contactFolders/{contactFolder-id}/childFolders/{contactFolder-id1}
v1.0, Remove-MgUserContactFolderContact, /users/{user-id}/contactFolders/{contactFolder-id}/contacts/{contact-id}
v1.0, Remove-MgUserContactFolderContactExtension, /users/{user-id}/contactFolders/{contactFolder-id}/contacts/{contact-id}/extensions/{extension-id}
v1.0, Remove-MgUserContactFolderContactMultiValueExtendedProperty, /users/{user-id}/contactFolders/{contactFolder-id}/contacts/{contact-id}/multiValueExtendedProperties/{multiValueLegacyExtendedProperty-id}
v1.0, Remove-MgUserContactFolderContactSingleValueExtendedProperty, /users/{user-id}/contactFolders/{contactFolder-id}/contacts/{contact-id}/singleValueExtendedProperties/{singleValueLegacyExtendedProperty-id}
v1.0, Remove-MgUserContactFolderMultiValueExtendedProperty, /users/{user-id}/contactFolders/{contactFolder-id}/multiValueExtendedProperties/{multiValueLegacyExtendedProperty-id}
