Graph profile, Command, UriPath
v1.0, Get-MgExternal, /external
v1.0, Get-MgExternalConnectionItem, /external/connections/{externalConnection-id}/items
v1.0, Get-MgExternalConnectionOperation, /external/connections/{externalConnection-id}/operations
v1.0, Get-MgSearchEntity, /search
v1.0, Invoke-MgQuerySearch, /search/query
v1.0, New-MgExternalConnectionItem, /external/connections/{externalConnection-id}/items
v1.0, New-MgExternalConnectionOperation, /external/connections/{externalConnection-id}/operations
v1.0, Remove-MgExternalConnection, /external/connections/{externalConnection-id}
v1.0, Remove-MgExternalConnectionGroup, /external/connections/{externalConnection-id}/groups/{externalGroup-id}
v1.0, Remove-MgExternalConnectionGroupMember, /external/connections/{externalConnection-id}/groups/{externalGroup-id}/members/{identity-id}
v1.0, Remove-MgExternalConnectionItem, /external/connections/{externalConnection-id}/items/{externalItem-id}
v1.0, Remove-MgExternalConnectionOperation, /external/connections/{externalConnection-id}/operations/{connectionOperation-id}
v1.0, Update-MgExternal, /external
v1.0, Update-MgExternalConnection, /external/connections/{externalConnection-id}
v1.0, Update-MgExternalConnectionGroup, /external/connections/{externalConnection-id}/groups/{externalGroup-id}
v1.0, Update-MgExternalConnectionGroupMember, /external/connections/{externalConnection-id}/groups/{externalGroup-id}/members/{identity-id}
v1.0, Update-MgExternalConnectionItem, /external/connections/{externalConnection-id}/items/{externalItem-id}
v1.0, Update-MgExternalConnectionOperation, /external/connections/{externalConnection-id}/operations/{connectionOperation-id}
v1.0, Update-MgSearchEntity, /search
v1.0-beta, Add-MgExternalConnectionItemActivity, /external/connections/{externalConnection-id}/items/{externalItem-id}/addActivities
v1.0-beta, Get-MgExternal, /external
v1.0-beta, Get-MgExternalConnectionItem, /external/connections/{externalConnection-id}/items
v1.0-beta, Get-MgExternalConnectionItemActivity, /external/connections/{externalConnection-id}/items/{externalItem-id}/activities/{externalActivity-id}
v1.0-beta, Get-MgExternalConnectionItemActivityPerformedBy, /external/connections/{externalConnection-id}/items/{externalItem-id}/activities/{externalActivity-id}/performedBy
v1.0-beta, Get-MgExternalConnectionOperation, /external/connections/{externalConnection-id}/operations
v1.0-beta, Get-MgExternalConnectionQuota, /external/connections/{externalConnection-id}/quota
v1.0-beta, Get-MgSearchAcronym, /search/acronyms/{acronym-id}
v1.0-beta, Get-MgSearchBookmark, /search/bookmarks/{bookmark-id}
v1.0-beta, Get-MgSearchEntity, /search
v1.0-beta, Get-MgSearchQna, /search/qnas/{qna-id}
v1.0-beta, Invoke-MgQuerySearch, /search/query
v1.0-beta, New-MgExternalConnectionItem, /external/connections/{externalConnection-id}/items
v1.0-beta, New-MgExternalConnectionItemActivity, /external/connections/{externalConnection-id}/items/{externalItem-id}/activities
v1.0-beta, New-MgExternalConnectionOperation, /external/connections/{externalConnection-id}/operations
v1.0-beta, New-MgSearchAcronym, /search/acronyms
v1.0-beta, New-MgSearchBookmark, /search/bookmarks
v1.0-beta, New-MgSearchQna, /search/qnas
v1.0-beta, Remove-MgExternalConnection, /external/connections/{externalConnection-id}
v1.0-beta, Remove-MgExternalConnectionGroup, /external/connections/{externalConnection-id}/groups/{externalGroup-id}
v1.0-beta, Remove-MgExternalConnectionGroupMember, /external/connections/{externalConnection-id}/groups/{externalGroup-id}/members/{identity-id}
v1.0-beta, Remove-MgExternalConnectionItem, /external/connections/{externalConnection-id}/items/{externalItem-id}
v1.0-beta, Remove-MgExternalConnectionItemActivity, /external/connections/{externalConnection-id}/items/{externalItem-id}/activities/{externalActivity-id}
v1.0-beta, Remove-MgExternalConnectionOperation, /external/connections/{externalConnection-id}/operations/{connectionOperation-id}
v1.0-beta, Remove-MgSearchAcronym, /search/acronyms/{acronym-id}
v1.0-beta, Remove-MgSearchBookmark, /search/bookmarks/{bookmark-id}
v1.0-beta, Remove-MgSearchQna, /search/qnas/{qna-id}
v1.0-beta, Update-MgExternal, /external
v1.0-beta, Update-MgExternalConnection, /external/connections/{externalConnection-id}
v1.0-beta, Update-MgExternalConnectionGroup, /external/connections/{externalConnection-id}/groups/{externalGroup-id}
v1.0-beta, Update-MgExternalConnectionGroupMember, /external/connections/{externalConnection-id}/groups/{externalGroup-id}/members/{identity-id}
v1.0-beta, Update-MgExternalConnectionItem, /external/connections/{externalConnection-id}/items/{externalItem-id}
v1.0-beta, Update-MgExternalConnectionItemActivity, /external/connections/{externalConnection-id}/items/{externalItem-id}/activities/{externalActivity-id}
v1.0-beta, Update-MgExternalConnectionOperation, /external/connections/{externalConnection-id}/operations/{connectionOperation-id}
v1.0-beta, Update-MgSearchAcronym, /search/acronyms/{acronym-id}
v1.0-beta, Update-MgSearchBookmark, /search/bookmarks/{bookmark-id}
v1.0-beta, Update-MgSearchEntity, /search
v1.0-beta, Update-MgSearchQna, /search/qnas/{qna-id}
v1.0, Get-MgExternalConnectionCount, /external/connections/$count
v1.0, Get-MgExternalConnectionGroupCount, /external/connections/{externalConnection-id}/groups/$count
v1.0, Get-MgExternalConnectionGroupMemberCount, /external/connections/{externalConnection-id}/groups/{externalGroup-id}/members/$count
v1.0, Get-MgExternalConnectionItemCount, /external/connections/{externalConnection-id}/items/$count
v1.0, Get-MgExternalConnectionOperationCount, /external/connections/{externalConnection-id}/operations/$count
