Graph profile, Command, UriPath
v1.0, Add-MgChatMember, /chats/{chat-id}/members/add
v1.0, Add-MgTeamChannelMember, /teams/{team-id}/channels/{channel-id}/members/add
v1.0, Add-MgTeamMember, /teams/{team-id}/members/add
v1.0, Add-MgTeamPrimaryChannelMember, /teams/{team-id}/primaryChannel/members/add
v1.0, Add-MgTeamworkDeletedTeamChannelMember, /teamwork/deletedTeams/{deletedTeam-id}/channels/{channel-id}/members/add
v1.0, Complete-MgTeamChannelMigration, /teams/{team-id}/channels/{channel-id}/completeMigration
v1.0, Complete-MgTeamMigration, /teams/{team-id}/completeMigration
v1.0, Complete-MgTeamPrimaryChannelMigration, /teams/{team-id}/primaryChannel/completeMigration
v1.0, Complete-MgTeamworkDeletedTeamChannelMigration, /teamwork/deletedTeams/{deletedTeam-id}/channels/{channel-id}/completeMigration
v1.0, Copy-MgTeam, /teams/{team-id}/clone
v1.0, Get-MgChatInstalledAppTeamApp, /chats/{chat-id}/installedApps/{teamsAppInstallation-id}/teamsApp
v1.0, Get-MgChatInstalledAppTeamAppDefinition, /chats/{chat-id}/installedApps/{teamsAppInstallation-id}/teamsAppDefinition
v1.0, Get-MgChatLastMessagePreview, /chats/{chat-id}/lastMessagePreview
v1.0, Get-MgChatMessageDelta, /chats/{chat-id}/messages/delta
v1.0, Get-MgChatMessageReplyDelta, /chats/{chat-id}/messages/{chatMessage-id}/replies/delta
v1.0, Get-MgChatTabTeamApp, /chats/{chat-id}/tabs/{teamsTab-id}/teamsApp
v1.0, Get-MgGroupTeamChannelTabTeamApp, /groups/{group-id}/team/channels/{channel-id}/tabs/{teamsTab-id}/teamsApp
v1.0, Get-MgGroupTeamGroup, /groups/{group-id}/team/group
v1.0, Get-MgGroupTeamInstalledAppTeamApp, /groups/{group-id}/team/installedApps/{teamsAppInstallation-id}/teamsApp
v1.0, Get-MgGroupTeamInstalledAppTeamAppDefinition, /groups/{group-id}/team/installedApps/{teamsAppInstallation-id}/teamsAppDefinition
v1.0, Get-MgGroupTeamOperation, /groups/{group-id}/team/operations
v1.0, Get-MgGroupTeamPhoto, /groups/{group-id}/team/photo
v1.0, Get-MgGroupTeamPhotoContent, /groups/{group-id}/team/photo/$value
v1.0, Get-MgGroupTeamPrimaryChannelTabTeamApp, /groups/{group-id}/team/primaryChannel/tabs/{teamsTab-id}/teamsApp
v1.0, Get-MgGroupTeamTemplate, /groups/{group-id}/team/template
v1.0, Get-MgTeamChannelMessageDelta, /teams/{team-id}/channels/{channel-id}/messages/delta
v1.0, Get-MgTeamChannelMessageReplyDelta, /teams/{team-id}/channels/{channel-id}/messages/{chatMessage-id}/replies/delta
v1.0, Get-MgTeamChannelTabTeamApp, /teams/{team-id}/channels/{channel-id}/tabs/{teamsTab-id}/teamsApp
v1.0, Get-MgTeamInstalledAppTeamApp, /teams/{team-id}/installedApps/{teamsAppInstallation-id}/teamsApp
v1.0, Get-MgTeamInstalledAppTeamAppDefinition, /teams/{team-id}/installedApps/{teamsAppInstallation-id}/teamsAppDefinition
v1.0, Get-MgTeamMessage, /teams/getAllMessages
v1.0, Get-MgTeamOperation, /teams/{team-id}/operations
v1.0, Get-MgTeamPhoto, /teams/{team-id}/photo
v1.0, Get-MgTeamPhotoContent, /teams/{team-id}/photo/$value
v1.0, Get-MgTeamPrimaryChannelMessageDelta, /teams/{team-id}/primaryChannel/messages/delta
v1.0, Get-MgTeamPrimaryChannelMessageReplyDelta, /teams/{team-id}/primaryChannel/messages/{chatMessage-id}/replies/delta
v1.0, Get-MgTeamPrimaryChannelTabTeamApp, /teams/{team-id}/primaryChannel/tabs/{teamsTab-id}/teamsApp
v1.0, Get-MgTeamTemplate, /teams/{team-id}/template
v1.0, Get-MgTeamwork, /teamwork
v1.0, Get-MgTeamworkDeletedTeamChannel, /teamwork/deletedTeams/{deletedTeam-id}/channels
v1.0, Get-MgTeamworkDeletedTeamChannelMessageDelta, /teamwork/deletedTeams/{deletedTeam-id}/channels/{channel-id}/messages/delta
v1.0, Get-MgTeamworkDeletedTeamChannelMessageReplyDelta, /teamwork/deletedTeams/{deletedTeam-id}/channels/{channel-id}/messages/{chatMessage-id}/replies/delta
v1.0, Get-MgTeamworkDeletedTeamChannelTabTeamApp, /teamwork/deletedTeams/{deletedTeam-id}/channels/{channel-id}/tabs/{teamsTab-id}/teamsApp
v1.0, Get-MgTeamworkDeletedTeamMessage, /teamwork/deletedTeams/getAllMessages
v1.0, Get-MgUserChatInstalledAppTeamApp, /users/{user-id}/chats/{chat-id}/installedApps/{teamsAppInstallation-id}/teamsApp
v1.0, Get-MgUserChatInstalledAppTeamAppDefinition, /users/{user-id}/chats/{chat-id}/installedApps/{teamsAppInstallation-id}/teamsAppDefinition
v1.0, Get-MgUserChatLastMessagePreview, /users/{user-id}/chats/{chat-id}/lastMessagePreview
v1.0, Get-MgUserChatTabTeamApp, /users/{user-id}/chats/{chat-id}/tabs/{teamsTab-id}/teamsApp
v1.0, Get-MgUserTeamwork, /users/{user-id}/teamwork
v1.0, Hide-MgChatForUser, /chats/{chat-id}/hideForUser
v1.0, Invoke-MgArchiveTeam, /teams/{team-id}/archive
v1.0, Invoke-MgGraphChat, /chats/{chat-id}/unhideForUser
