Graph profile, Command, UriPath
v1.0, Export-MgUserDeviceAndAppManagementData, /users/{user-id}/exportDeviceAndAppManagementData
v1.0, Get-MgUserCalendarEventDelta, /users/{user-id}/calendar/events/delta
v1.0, Get-MgUserContactDelta, /users/{user-id}/contacts/delta
v1.0, Get-MgUserContactFolderChildFolderDelta, /users/{user-id}/contactFolders/{contactFolder-id}/childFolders/delta
v1.0, Get-MgUserContactFolderContactDelta, /users/{user-id}/contactFolders/{contactFolder-id}/contacts/delta
v1.0, Get-MgUserContactFolderDelta, /users/{user-id}/contactFolders/delta
v1.0, Get-MgUserDelta, /users/delta
v1.0, Get-MgUserEventDelta, /users/{user-id}/events/delta
v1.0, Get-MgUserEventInstanceDelta, /users/{user-id}/events/{event-id}/instances/delta
v1.0, Get-MgUserMailFolderChildFolderDelta, /users/{user-id}/mailFolders/{mailFolder-id}/childFolders/delta
v1.0, Get-MgUserMailFolderDelta, /users/{user-id}/mailFolders/delta
v1.0, Get-MgUserMailFolderMessageDelta, /users/{user-id}/mailFolders/{mailFolder-id}/messages/delta
v1.0, Get-MgUserManagedAppDiagnosticStatuses, /users/{user-id}/getManagedAppDiagnosticStatuses
v1.0, Get-MgUserManagedAppPolicy, /users/{user-id}/getManagedAppPolicies
v1.0, Get-MgUserManagedDeviceWithAppFailure, /users/{user-id}/getManagedDevicesWithAppFailures
v1.0, Get-MgUserMessageDelta, /users/{user-id}/messages/delta
v1.0, Get-MgUserOnenoteRecentNotebook, /users/{user-id}/onenote/notebooks/getRecentNotebooks(includePersonalNotebooks={includePersonalNotebooks})
v1.0, Invoke-MgCalendarUserCalendarAllowedCalendarSharingRoles, /users/{user-id}/calendar/allowedCalendarSharingRoles(User='{User}')
v1.0, Invoke-MgPreviewUserOnenotePage, /users/{user-id}/onenote/pages/{onenotePage-id}/preview
v1.0, Invoke-MgRecentUserActivity, /users/{user-id}/activities/recent
